Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
840.78	1.0000	0.63781	1.5679	40.232	47.223	166.82	43.799	52.126	434.84	0.14735	3.6273e-05	0.059455	vapor
843.76	1.0000	0.63556	1.5734	40.362	47.378	167.01	43.846	52.173	435.58	0.14572	3.6369e-05	0.059674	vapor
846.73	1.0000	0.63333	1.5790	40.493	47.534	167.19	43.893	52.220	436.31	0.14411	3.6464e-05	0.059891	vapor
849.70	1.0000	0.63111	1.5845	40.623	47.689	167.37	43.940	52.266	437.03	0.14252	3.6559e-05	0.060109	vapor
852.67	1.0000	0.62891	1.5901	40.754	47.844	167.56	43.986	52.312	437.76	0.14094	3.6655e-05	0.060326	vapor
855.65	1.0000	0.62672	1.5956	40.885	48.000	167.74	44.032	52.358	438.49	0.13938	3.6750e-05	0.060543	vapor
858.62	1.0000	0.62455	1.6011	41.016	48.156	167.92	44.078	52.404	439.21	0.13784	3.6844e-05	0.060760	vapor
861.59	1.0000	0.62240	1.6067	41.147	48.311	168.10	44.123	52.449	439.94	0.13631	3.6939e-05	0.060977	vapor
864.56	1.0000	0.62026	1.6122	41.278	48.467	168.28	44.169	52.495	440.66	0.13479	3.7034e-05	0.061193	vapor
867.54	1.0000	0.61813	1.6178	41.409	48.623	168.46	44.214	52.540	441.38	0.13329	3.7128e-05	0.061409	vapor
870.51	1.0000	0.61602	1.6233	41.541	48.780	168.64	44.259	52.584	442.10	0.13181	3.7222e-05	0.061625	vapor
873.48	1.0000	0.61392	1.6289	41.672	48.936	168.82	44.303	52.629	442.82	0.13034	3.7316e-05	0.061840	vapor
876.45	1.0000	0.61184	1.6344	41.804	49.093	169.00	44.348	52.673	443.54	0.12888	3.7410e-05	0.062056	vapor
879.43	1.0000	0.60977	1.6400	41.936	49.249	169.18	44.392	52.717	444.26	0.12744	3.7504e-05	0.062271	vapor
882.40	1.0000	0.60771	1.6455	42.068	49.406	169.36	44.436	52.761	444.97	0.12601	3.7597e-05	0.062485	vapor
885.37	1.0000	0.60567	1.6511	42.200	49.563	169.53	44.479	52.805	445.69	0.12460	3.7691e-05	0.062700	vapor
888.34	1.0000	0.60364	1.6566	42.333	49.720	169.71	44.523	52.848	446.40	0.12319	3.7784e-05	0.062914	vapor
891.31	1.0000	0.60163	1.6621	42.465	49.877	169.89	44.566	52.891	447.11	0.12181	3.7877e-05	0.063128	vapor
894.29	1.0000	0.59963	1.6677	42.598	50.034	170.06	44.609	52.934	447.82	0.12043	3.7970e-05	0.063342	vapor
897.26	1.0000	0.59764	1.6732	42.730	50.192	170.24	44.652	52.977	448.53	0.11907	3.8063e-05	0.063555	vapor
900.23	1.0000	0.59567	1.6788	42.863	50.349	170.42	44.694	53.019	449.24	0.11772	3.8155e-05	0.063769	vapor
903.20	1.0000	0.59371	1.6843	42.996	50.507	170.59	44.736	53.061	449.95	0.11639	3.8248e-05	0.063982	vapor
906.18	1.0000	0.59176	1.6899	43.129	50.665	170.76	44.779	53.103	450.66	0.11506	3.8340e-05	0.064194	vapor
909.15	1.0000	0.58982	1.6954	43.262	50.823	170.94	44.820	53.145	451.36	0.11375	3.8432e-05	0.064407	vapor
912.12	1.0000	0.58790	1.7010	43.395	50.981	171.11	44.862	53.187	452.07	0.11245	3.8524e-05	0.064619	vapor
915.09	1.0000	0.58599	1.7065	43.529	51.139	171.29	44.903	53.228	452.77	0.11116	3.8616e-05	0.064831	vapor
918.07	1.0000	0.58409	1.7121	43.662	51.297	171.46	44.945	53.269	453.47	0.10989	3.8708e-05	0.065043	vapor
921.04	1.0000	0.58221	1.7176	43.796	51.455	171.63	44.986	53.310	454.18	0.10863	3.8800e-05	0.065254	vapor
924.01	1.0000	0.58033	1.7231	43.930	51.614	171.80	45.026	53.351	454.88	0.10737	3.8891e-05	0.065465	vapor
926.98	1.0000	0.57847	1.7287	44.064	51.773	171.97	45.067	53.391	455.58	0.10613	3.8982e-05	0.065676	vapor
929.96	1.0000	0.57662	1.7342	44.198	51.931	172.14	45.107	53.431	456.27	0.10490	3.9074e-05	0.065887	vapor
932.93	1.0000	0.57478	1.7398	44.332	52.090	172.32	45.147	53.472	456.97	0.10369	3.9165e-05	0.066097	vapor
