Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
1292.6	1.0000	0.41483	2.4106	61.286	72.035	190.37	48.760	57.079	534.79	0.0095026	4.9311e-05	0.089815	vapor
1295.6	1.0000	0.41388	2.4162	61.431	72.205	190.50	48.781	57.100	535.38	0.0090087	4.9389e-05	0.089998	vapor
1298.5	1.0000	0.41293	2.4217	61.576	72.375	190.63	48.803	57.122	535.98	0.0085178	4.9466e-05	0.090180	vapor
1301.5	1.0000	0.41199	2.4273	61.721	72.545	190.76	48.825	57.144	536.58	0.0080298	4.9544e-05	0.090362	vapor
1304.5	1.0000	0.41105	2.4328	61.866	72.715	190.89	48.846	57.165	537.17	0.0075448	4.9622e-05	0.090544	vapor
1307.4	1.0000	0.41011	2.4384	62.011	72.885	191.02	48.867	57.186	537.77	0.0070627	4.9699e-05	0.090726	vapor
1310.4	1.0000	0.40918	2.4439	62.157	73.055	191.15	48.889	57.208	538.36	0.0065835	4.9777e-05	0.090908	vapor
1313.4	1.0000	0.40826	2.4494	62.302	73.225	191.28	48.910	57.229	538.95	0.0061072	4.9854e-05	0.091089	vapor
1316.4	1.0000	0.40733	2.4550	62.447	73.395	191.41	48.931	57.250	539.55	0.0056338	4.9932e-05	0.091271	vapor
1319.3	1.0000	0.40642	2.4605	62.593	73.565	191.54	48.952	57.271	540.14	0.0051631	5.0009e-05	0.091452	vapor
1322.3	1.0000	0.40550	2.4661	62.738	73.735	191.67	48.973	57.291	540.73	0.0046953	5.0086e-05	0.091633	vapor
1325.3	1.0000	0.40459	2.4716	62.884	73.906	191.79	48.994	57.312	541.32	0.0042302	5.0163e-05	0.091813	vapor
1328.2	1.0000	0.40369	2.4772	63.030	74.076	191.92	49.014	57.333	541.91	0.0037679	5.0240e-05	0.091994	vapor
1331.2	1.0000	0.40279	2.4827	63.175	74.246	192.05	49.035	57.353	542.50	0.0033083	5.0317e-05	0.092174	vapor
1334.2	1.0000	0.40189	2.4882	63.321	74.417	192.18	49.055	57.374	543.09	0.0028515	5.0394e-05	0.092354	vapor
1337.2	1.0000	0.40100	2.4938	63.467	74.587	192.31	49.076	57.394	543.68	0.0023973	5.0471e-05	0.092534	vapor
1340.1	1.0000	0.40011	2.4993	63.613	74.758	192.43	49.096	57.414	544.26	0.0019457	5.0548e-05	0.092714	vapor
1343.1	1.0000	0.39922	2.5049	63.759	74.929	192.56	49.116	57.435	544.85	0.0014968	5.0624e-05	0.092893	vapor
1346.1	1.0000	0.39834	2.5104	63.905	75.099	192.69	49.136	57.455	545.44	0.0010506	5.0701e-05	0.093072	vapor
1349.1	1.0000	0.39746	2.5160	64.051	75.270	192.82	49.156	57.475	546.02	0.00060686	5.0777e-05	0.093252	vapor
1352.0	1.0000	0.39659	2.5215	64.197	75.441	192.94	49.176	57.495	546.61	0.00016574	5.0854e-05	0.093430	vapor
1355.0	1.0000	0.39572	2.5270	64.343	75.612	193.07	49.196	57.514	547.19	-0.00027283	5.0930e-05	0.093609	vapor
1358.0	1.0000	0.39485	2.5326	64.490	75.783	193.19	49.216	57.534	547.78	-0.00070888	5.1006e-05	0.093788	vapor
1360.9	1.0000	0.39399	2.5381	64.636	75.954	193.32	49.235	57.554	548.36	-0.0011424	5.1083e-05	0.093966	vapor
1363.9	1.0000	0.39313	2.5437	64.782	76.125	193.45	49.255	57.573	548.94	-0.0015735	5.1159e-05	0.094144	vapor
1366.9	1.0000	0.39228	2.5492	64.929	76.296	193.57	49.274	57.593	549.52	-0.0020021	5.1235e-05	0.094322	vapor
1369.9	1.0000	0.39143	2.5548	65.075	76.468	193.70	49.294	57.612	550.11	-0.0024282	5.1311e-05	0.094500	vapor
1372.8	1.0000	0.39058	2.5603	65.222	76.639	193.82	49.313	57.631	550.69	-0.0028519	5.1387e-05	0.094678	vapor
1375.8	1.0000	0.38973	2.5658	65.368	76.810	193.95	49.332	57.650	551.27	-0.0032732	5.1463e-05	0.094855	vapor
1378.8	1.0000	0.38889	2.5714	65.515	76.982	194.07	49.351	57.670	551.85	-0.0036922	5.1538e-05	0.095032	vapor
1381.8	1.0000	0.38806	2.5769	65.662	77.153	194.19	49.370	57.689	552.43	-0.0041087	5.1614e-05	0.095209	vapor
1384.7	1.0000	0.38722	2.5825	65.808	77.325	194.32	49.389	57.707	553.00	-0.0045229	5.1690e-05	0.095386	vapor
1387.7	1.0000	0.38640	2.5880	65.955	77.496	194.44	49.408	57.726	553.58	-0.0049348	5.1765e-05	0.095563	vapor
1390.7	1.0000	0.38557	2.5936	66.102	77.668	194.57	49.427	57.745	554.16	-0.0053444	5.1841e-05	0.095739	vapor
1393.6	1.0000	0.38475	2.5991	66.249	77.839	194.69	49.445	57.764	554.74	-0.0057517	5.1916e-05	0.095915	vapor
1396.6	1.0000	0.38393	2.6047	66.396	78.011	194.81	49.464	57.782	555.31	-0.0061567	5.1991e-05	0.096091	vapor
1399.6	1.0000	0.38311	2.6102	66.543	78.183	194.94	49.483	57.801	555.89	-0.0065595	5.2067e-05	0.096267	vapor
1402.6	1.0000	0.38230	2.6157	66.690	78.355	195.06	49.501	57.819	556.46	-0.0069600	5.2142e-05	0.096443	vapor
1405.5	1.0000	0.38149	2.6213	66.837	78.527	195.18	49.519	57.837	557.04	-0.0073583	5.2217e-05	0.096619	vapor
1408.5	1.0000	0.38069	2.6268	66.985	78.698	195.30	49.538	57.856	557.61	-0.0077544	5.2292e-05	0.096794	vapor
1411.5	1.0000	0.37989	2.6324	67.132	78.870	195.42	49.556	57.874	558.18	-0.0081483	5.2367e-05	0.096969	vapor
1414.4	1.0000	0.37909	2.6379	67.279	79.043	195.55	49.574	57.892	558.76	-0.0085401	5.2442e-05	0.097144	vapor
1417.4	1.0000	0.37829	2.6435	67.427	79.215	195.67	49.592	57.910	559.33	-0.0089297	5.2517e-05	0.097319	vapor
1420.4	1.0000	0.37750	2.6490	67.574	79.387	195.79	49.610	57.928	559.90	-0.0093172	5.2591e-05	0.097494	vapor
1423.4	1.0000	0.37671	2.6545	67.722	79.559	195.91	49.628	57.946	560.47	-0.0097026	5.2666e-05	0.097668	vapor
1426.3	1.0000	0.37593	2.6601	67.869	79.731	196.03	49.645	57.963	561.04	-0.010086	5.2741e-05	0.097842	vapor
1429.3	1.0000	0.37515	2.6656	68.017	79.904	196.15	49.663	57.981	561.61	-0.010467	5.2815e-05	0.098016	vapor
1432.3	1.0000	0.37437	2.6712	68.164	80.076	196.27	49.681	57.999	562.18	-0.010846	5.2890e-05	0.098190	vapor
1435.3	1.0000	0.37359	2.6767	68.312	80.248	196.39	49.698	58.016	562.75	-0.011223	5.2964e-05	0.098364	vapor
1438.2	1.0000	0.37282	2.6823	68.460	80.421	196.51	49.716	58.034	563.32	-0.011598	5.3039e-05	0.098537	vapor
1441.2	1.0000	0.37205	2.6878	68.608	80.593	196.63	49.733	58.051	563.88	-0.011971	5.3113e-05	0.098711	vapor
1444.2	1.0000	0.37129	2.6933	68.756	80.766	196.75	49.750	58.068	564.45	-0.012342	5.3187e-05	0.098884	vapor
1447.1	1.0000	0.37052	2.6989	68.903	80.939	196.87	49.768	58.085	565.02	-0.012711	5.3261e-05	0.099057	vapor
1450.1	1.0000	0.36976	2.7044	69.051	81.111	196.99	49.785	58.103	565.58	-0.013079	5.3335e-05	0.099230	vapor
1453.1	1.0000	0.36901	2.7100	69.199	81.284	197.11	49.802	58.120	566.15	-0.013444	5.3409e-05	0.099402	vapor
1456.1	1.0000	0.36825	2.7155	69.347	81.457	197.23	49.819	58.137	566.71	-0.013807	5.3483e-05	0.099575	vapor
1459.0	1.0000	0.36750	2.7211	69.496	81.630	197.35	49.836	58.153	567.28	-0.014168	5.3557e-05	0.099747	vapor
1462.0	1.0000	0.36676	2.7266	69.644	81.802	197.47	49.853	58.170	567.84	-0.014527	5.3631e-05	0.099919	vapor
1465.0	1.0000	0.36601	2.7321	69.792	81.975	197.58	49.869	58.187	568.41	-0.014885	5.3705e-05	0.10009	vapor
1467.9	1.0000	0.36527	2.7377	69.940	82.148	197.70	49.886	58.204	568.97	-0.015240	5.3778e-05	0.10026	vapor
1470.9	1.0000	0.36453	2.7432	70.088	82.321	197.82	49.903	58.220	569.53	-0.015594	5.3852e-05	0.10043	vapor
1473.9	1.0000	0.36380	2.7488	70.237	82.494	197.94	49.919	58.237	570.09	-0.015946	5.3926e-05	0.10061	vapor
1476.9	1.0000	0.36307	2.7543	70.385	82.668	198.05	49.936	58.253	570.65	-0.016296	5.3999e-05	0.10078	vapor
1479.8	1.0000	0.36234	2.7599	70.534	82.841	198.17	49.952	58.270	571.21	-0.016644	5.4072e-05	0.10095	vapor
1482.8	1.0000	0.36161	2.7654	70.682	83.014	198.29	49.968	58.286	571.77	-0.016991	5.4146e-05	0.10112	vapor
1485.8	1.0000	0.36089	2.7709	70.831	83.187	198.40	49.985	58.302	572.33	-0.017335	5.4219e-05	0.10129	vapor
1488.8	1.0000	0.36017	2.7765	70.979	83.361	198.52	50.001	58.318	572.89	-0.017678	5.4292e-05	0.10146	vapor
1491.7	1.0000	0.35945	2.7820	71.128	83.534	198.64	50.017	58.335	573.45	-0.018019	5.4365e-05	0.10163	vapor
1494.7	1.0000	0.35873	2.7876	71.277	83.707	198.75	50.033	58.351	574.01	-0.018358	5.4439e-05	0.10180	vapor
1497.7	1.0000	0.35802	2.7931	71.425	83.881	198.87	50.049	58.367	574.56	-0.018696	5.4512e-05	0.10197	vapor
1500.6	1.0000	0.35731	2.7987	71.574	84.054	198.99	50.065	58.382	575.12	-0.019032	5.4585e-05	0.10214	vapor
1503.6	1.0000	0.35661	2.8042	71.723	84.228	199.10	50.081	58.398	575.68	-0.019366	5.4657e-05	0.10231	vapor
1506.6	1.0000	0.35590	2.8097	71.872	84.401	199.22	50.096	58.414	576.23	-0.019698	5.4730e-05	0.10248	vapor
1509.6	1.0000	0.35520	2.8153	72.021	84.575	199.33	50.112	58.430	576.79	-0.020029	5.4803e-05	0.10265	vapor
1512.5	1.0000	0.35450	2.8208	72.170	84.749	199.45	50.128	58.445	577.34	-0.020358	5.4876e-05	0.10282	vapor
1515.5	1.0000	0.35381	2.8264	72.319	84.923	199.56	50.143	58.461	577.90	-0.020685	5.4948e-05	0.10299	vapor
1518.5	1.0000	0.35312	2.8319	72.468	85.096	199.68	50.159	58.476	578.45	-0.021011	5.5021e-05	0.10316	vapor
1521.5	1.0000	0.35243	2.8375	72.617	85.270	199.79	50.174	58.492	579.00	-0.021335	5.5094e-05	0.10332	vapor
1524.4	1.0000	0.35174	2.8430	72.766	85.444	199.90	50.190	58.507	579.56	-0.021657	5.5166e-05	0.10349	vapor
1527.4	1.0000	0.35106	2.8486	72.915	85.618	200.02	50.205	58.522	580.11	-0.021978	5.5239e-05	0.10366	vapor
1530.4	1.0000	0.35037	2.8541	73.065	85.792	200.13	50.220	58.538	580.66	-0.022297	5.5311e-05	0.10383	vapor
1533.3	1.0000	0.34969	2.8596	73.214	85.966	200.25	50.235	58.553	581.21	-0.022615	5.5383e-05	0.10400	vapor
1536.3	1.0000	0.34902	2.8652	73.363	86.140	200.36	50.250	58.568	581.76	-0.022931	5.5455e-05	0.10417	vapor
1539.3	1.0000	0.34834	2.8707	73.513	86.314	200.47	50.265	58.583	582.31	-0.023245	5.5528e-05	0.10433	vapor
1542.3	1.0000	0.34767	2.8763	73.662	86.488	200.59	50.280	58.598	582.86	-0.023558	5.5600e-05	0.10450	vapor
1545.2	1.0000	0.34700	2.8818	73.812	86.662	200.70	50.295	58.613	583.41	-0.023869	5.5672e-05	0.10467	vapor
1548.2	1.0000	0.34634	2.8874	73.961	86.837	200.81	50.310	58.628	583.96	-0.024179	5.5744e-05	0.10483	vapor
1551.2	1.0000	0.34567	2.8929	74.111	87.011	200.92	50.325	58.642	584.51	-0.024487	5.5816e-05	0.10500	vapor
1554.1	1.0000	0.34501	2.8984	74.260	87.185	201.04	50.340	58.657	585.05	-0.024794	5.5888e-05	0.10517	vapor
1557.1	1.0000	0.34435	2.9040	74.410	87.360	201.15	50.354	58.672	585.60	-0.025099	5.5959e-05	0.10534	vapor
1560.1	1.0000	0.34370	2.9095	74.560	87.534	201.26	50.369	58.686	586.15	-0.025403	5.6031e-05	0.10550	vapor
1563.1	1.0000	0.34305	2.9151	74.709	87.709	201.37	50.383	58.701	586.69	-0.025705	5.6103e-05	0.10567	vapor
1566.0	1.0000	0.34239	2.9206	74.859	87.883	201.48	50.398	58.715	587.24	-0.026006	5.6174e-05	0.10583	vapor
1569.0	1.0000	0.34175	2.9262	75.009	88.058	201.59	50.412	58.730	587.78	-0.026305	5.6246e-05	0.10600	vapor
1572.0	1.0000	0.34110	2.9317	75.159	88.232	201.71	50.427	58.744	588.33	-0.026603	5.6317e-05	0.10617	vapor
1575.0	1.0000	0.34046	2.9372	75.309	88.407	201.82	50.441	58.758	588.87	-0.026899	5.6389e-05	0.10633	vapor
1577.9	1.0000	0.33981	2.9428	75.459	88.582	201.93	50.455	58.772	589.42	-0.027194	5.6460e-05	0.10650	vapor
1580.9	1.0000	0.33918	2.9483	75.609	88.756	202.04	50.469	58.787	589.96	-0.027488	5.6532e-05	0.10666	vapor
1583.9	1.0000	0.33854	2.9539	75.759	88.931	202.15	50.483	58.801	590.50	-0.027780	5.6603e-05	0.10683	vapor
1586.8	1.0000	0.33791	2.9594	75.909	89.106	202.26	50.497	58.815	591.04	-0.028071	5.6674e-05	0.10699	vapor
1589.8	1.0000	0.33727	2.9650	76.059	89.281	202.37	50.511	58.829	591.58	-0.028360	5.6745e-05	0.10716	vapor
1592.8	1.0000	0.33664	2.9705	76.209	89.455	202.48	50.525	58.843	592.13	-0.028648	5.6816e-05	0.10732	vapor
1595.8	1.0000	0.33602	2.9760	76.359	89.630	202.59	50.539	58.856	592.67	-0.028934	5.6887e-05	0.10749	vapor
1598.7	1.0000	0.33539	2.9816	76.510	89.805	202.70	50.553	58.870	593.21	-0.029220	5.6958e-05	0.10765	vapor
1601.7	1.0000	0.33477	2.9871	76.660	89.980	202.81	50.567	58.884	593.75	-0.029503	5.7029e-05	0.10782	vapor
1604.7	1.0000	0.33415	2.9927	76.810	90.155	202.92	50.581	58.898	594.29	-0.029786	5.7100e-05	0.10798	vapor
1607.7	1.0000	0.33353	2.9982	76.961	90.330	203.03	50.594	58.911	594.82	-0.030067	5.7171e-05	0.10814	vapor
1610.6	1.0000	0.33292	3.0038	77.111	90.506	203.13	50.608	58.925	595.36	-0.030347	5.7242e-05	0.10831	vapor
1613.6	1.0000	0.33230	3.0093	77.261	90.681	203.24	50.621	58.938	595.90	-0.030625	5.7313e-05	0.10847	vapor
1616.6	1.0000	0.33169	3.0148	77.412	90.856	203.35	50.635	58.952	596.44	-0.030902	5.7383e-05	0.10863	vapor
1619.5	1.0000	0.33108	3.0204	77.562	91.031	203.46	50.648	58.965	596.97	-0.031178	5.7454e-05	0.10880	vapor
1622.5	1.0000	0.33048	3.0259	77.713	91.207	203.57	50.662	58.979	597.51	-0.031453	5.7524e-05	0.10896	vapor
1625.5	1.0000	0.32987	3.0315	77.864	91.382	203.68	50.675	58.992	598.05	-0.031726	5.7595e-05	0.10912	vapor
1628.5	1.0000	0.32927	3.0370	78.014	91.557	203.78	50.688	59.005	598.58	-0.031998	5.7665e-05	0.10929	vapor
1631.4	1.0000	0.32867	3.0426	78.165	91.733	203.89	50.701	59.018	599.12	-0.032269	5.7736e-05	0.10945	vapor
1634.4	1.0000	0.32807	3.0481	78.316	91.908	204.00	50.714	59.031	599.65	-0.032538	5.7806e-05	0.10961	vapor
1637.4	1.0000	0.32748	3.0536	78.466	92.084	204.11	50.727	59.044	600.18	-0.032807	5.7876e-05	0.10977	vapor
1640.3	1.0000	0.32688	3.0592	78.617	92.259	204.21	50.741	59.057	600.72	-0.033074	5.7947e-05	0.10994	vapor
1643.3	1.0000	0.32629	3.0647	78.768	92.435	204.32	50.753	59.070	601.25	-0.033339	5.8017e-05	0.11010	vapor
1646.3	1.0000	0.32570	3.0703	78.919	92.610	204.43	50.766	59.083	601.78	-0.033604	5.8087e-05	0.11026	vapor
1649.3	1.0000	0.32512	3.0758	79.070	92.786	204.53	50.779	59.096	602.32	-0.033867	5.8157e-05	0.11042	vapor
1652.2	1.0000	0.32453	3.0814	79.221	92.962	204.64	50.792	59.109	602.85	-0.034129	5.8227e-05	0.11058	vapor
1655.2	1.0000	0.32395	3.0869	79.372	93.137	204.75	50.805	59.122	603.38	-0.034390	5.8297e-05	0.11074	vapor
1658.2	1.0000	0.32337	3.0924	79.523	93.313	204.85	50.818	59.135	603.91	-0.034650	5.8367e-05	0.11091	vapor
1661.2	1.0000	0.32279	3.0980	79.674	93.489	204.96	50.830	59.147	604.44	-0.034908	5.8436e-05	0.11107	vapor
1664.1	1.0000	0.32221	3.1035	79.825	93.665	205.06	50.843	59.160	604.97	-0.035166	5.8506e-05	0.11123	vapor
1667.1	1.0000	0.32164	3.1091	79.976	93.840	205.17	50.855	59.172	605.50	-0.035422	5.8576e-05	0.11139	vapor
1670.1	1.0000	0.32107	3.1146	80.127	94.016	205.27	50.868	59.185	606.03	-0.035677	5.8646e-05	0.11155	vapor
1673.0	1.0000	0.32050	3.1202	80.279	94.192	205.38	50.880	59.197	606.56	-0.035931	5.8715e-05	0.11171	vapor
1676.0	1.0000	0.31993	3.1257	80.430	94.368	205.48	50.893	59.210	607.08	-0.036183	5.8785e-05	0.11187	vapor
1679.0	1.0000	0.31936	3.1312	80.581	94.544	205.59	50.905	59.222	607.61	-0.036435	5.8854e-05	0.11203	vapor
1682.0	1.0000	0.31880	3.1368	80.732	94.720	205.69	50.917	59.234	608.14	-0.036685	5.8924e-05	0.11219	vapor
1684.9	1.0000	0.31824	3.1423	80.884	94.896	205.80	50.930	59.247	608.67	-0.036935	5.8993e-05	0.11235	vapor
1687.9	1.0000	0.31768	3.1479	81.035	95.073	205.90	50.942	59.259	609.19	-0.037183	5.9063e-05	0.11251	vapor
1690.9	1.0000	0.31712	3.1534	81.187	95.249	206.01	50.954	59.271	609.72	-0.037430	5.9132e-05	0.11267	vapor
1693.8	1.0000	0.31656	3.1590	81.338	95.425	206.11	50.966	59.283	610.24	-0.037676	5.9201e-05	0.11283	vapor
1696.8	1.0000	0.31601	3.1645	81.490	95.601	206.22	50.978	59.295	610.77	-0.037921	5.9270e-05	0.11299	vapor
1699.8	1.0000	0.31545	3.1700	81.641	95.777	206.32	50.990	59.307	611.29	-0.038165	5.9340e-05	0.11315	vapor
1702.8	1.0000	0.31490	3.1756	81.793	95.954	206.42	51.002	59.319	611.82	-0.038407	5.9409e-05	0.11331	vapor
1705.7	1.0000	0.31435	3.1811	81.944	96.130	206.53	51.014	59.331	612.34	-0.038649	5.9478e-05	0.11346	vapor
1708.7	1.0000	0.31381	3.1867	82.096	96.306	206.63	51.026	59.343	612.86	-0.038890	5.9547e-05	0.11362	vapor
1711.7	1.0000	0.31326	3.1922	82.248	96.483	206.73	51.038	59.355	613.39	-0.039129	5.9616e-05	0.11378	vapor
1714.7	1.0000	0.31272	3.1978	82.399	96.659	206.84	51.050	59.366	613.91	-0.039367	5.9685e-05	0.11394	vapor
1717.6	1.0000	0.31218	3.2033	82.551	96.836	206.94	51.061	59.378	614.43	-0.039605	5.9753e-05	0.11410	vapor
1720.6	1.0000	0.31164	3.2088	82.703	97.012	207.04	51.073	59.390	614.95	-0.039841	5.9822e-05	0.11426	vapor
1723.6	1.0000	0.31110	3.2144	82.855	97.189	207.14	51.085	59.401	615.47	-0.040076	5.9891e-05	0.11441	vapor
1726.5	1.0000	0.31057	3.2199	83.007	97.365	207.25	51.096	59.413	615.99	-0.040311	5.9960e-05	0.11457	vapor
1729.5	1.0000	0.31003	3.2255	83.159	97.542	207.35	51.108	59.424	616.51	-0.040544	6.0028e-05	0.11473	vapor
1732.5	1.0000	0.30950	3.2310	83.311	97.719	207.45	51.119	59.436	617.03	-0.040776	6.0097e-05	0.11489	vapor
1735.5	1.0000	0.30897	3.2366	83.463	97.895	207.55	51.131	59.447	617.55	-0.041008	6.0165e-05	0.11505	vapor
1738.4	1.0000	0.30844	3.2421	83.615	98.072	207.65	51.142	59.459	618.07	-0.041238	6.0234e-05	0.11520	vapor
1741.4	1.0000	0.30792	3.2476	83.767	98.249	207.76	51.153	59.470	618.59	-0.041467	6.0302e-05	0.11536	vapor
1744.4	1.0000	0.30739	3.2532	83.919	98.426	207.86	51.165	59.481	619.11	-0.041695	6.0371e-05	0.11552	vapor
1747.4	1.0000	0.30687	3.2587	84.071	98.602	207.96	51.176	59.493	619.63	-0.041922	6.0439e-05	0.11567	vapor
1750.3	1.0000	0.30635	3.2643	84.223	98.779	208.06	51.187	59.504	620.14	-0.042149	6.0507e-05	0.11583	vapor
1753.3	1.0000	0.30583	3.2698	84.375	98.956	208.16	51.198	59.515	620.66	-0.042374	6.0576e-05	0.11599	vapor
1756.3	1.0000	0.30531	3.2754	84.527	99.133	208.26	51.210	59.526	621.18	-0.042598	6.0644e-05	0.11614	vapor
1759.2	1.0000	0.30479	3.2809	84.679	99.310	208.36	51.221	59.537	621.69	-0.042822	6.0712e-05	0.11630	vapor
1762.2	1.0000	0.30428	3.2864	84.832	99.487	208.46	51.232	59.548	622.21	-0.043044	6.0780e-05	0.11646	vapor
1765.2	1.0000	0.30377	3.2920	84.984	99.664	208.56	51.243	59.559	622.72	-0.043266	6.0848e-05	0.11661	vapor
1768.2	1.0000	0.30326	3.2975	85.136	99.841	208.66	51.254	59.570	623.24	-0.043486	6.0916e-05	0.11677	vapor
1771.1	1.0000	0.30275	3.3031	85.289	100.02	208.76	51.265	59.581	623.75	-0.043706	6.0984e-05	0.11692	vapor
1774.1	1.0000	0.30224	3.3086	85.441	100.20	208.86	51.275	59.592	624.26	-0.043924	6.1052e-05	0.11708	vapor
1777.1	1.0000	0.30174	3.3142	85.594	100.37	208.96	51.286	59.603	624.78	-0.044142	6.1120e-05	0.11723	vapor
1780.0	1.0000	0.30123	3.3197	85.746	100.55	209.06	51.297	59.614	625.29	-0.044359	6.1188e-05	0.11739	vapor
1783.0	1.0000	0.30073	3.3252	85.898	100.73	209.16	51.308	59.624	625.80	-0.044575	6.1255e-05	0.11754	vapor
1786.0	1.0000	0.30023	3.3308	86.051	100.90	209.26	51.319	59.635	626.32	-0.044790	6.1323e-05	0.11770	vapor
1789.0	1.0000	0.29973	3.3363	86.204	101.08	209.36	51.329	59.646	626.83	-0.045004	6.1391e-05	0.11785	vapor
1791.9	1.0000	0.29923	3.3419	86.356	101.26	209.46	51.340	59.656	627.34	-0.045217	6.1458e-05	0.11801	vapor
1794.9	1.0000	0.29874	3.3474	86.509	101.44	209.56	51.350	59.667	627.85	-0.045429	6.1526e-05	0.11816	vapor
1797.9	1.0000	0.29824	3.3530	86.661	101.61	209.66	51.361	59.677	628.36	-0.045641	6.1593e-05	0.11832	vapor
1800.9	1.0000	0.29775	3.3585	86.814	101.79	209.76	51.371	59.688	628.87	-0.045851	6.1661e-05	0.11847	vapor
1803.8	1.0000	0.29726	3.3640	86.967	101.97	209.85	51.382	59.698	629.38	-0.046061	6.1728e-05	0.11863	vapor
1806.8	1.0000	0.29677	3.3696	87.120	102.15	209.95	51.392	59.709	629.89	-0.046270	6.1796e-05	0.11878	vapor
1809.8	1.0000	0.29629	3.3751	87.272	102.32	210.05	51.403	59.719	630.40	-0.046478	6.1863e-05	0.11893	vapor
1812.7	1.0000	0.29580	3.3807	87.425	102.50	210.15	51.413	59.730	630.91	-0.046685	6.1930e-05	0.11909	vapor
1815.7	1.0000	0.29532	3.3862	87.578	102.68	210.25	51.423	59.740	631.41	-0.046891	6.1998e-05	0.11924	vapor
1818.7	1.0000	0.29483	3.3917	87.731	102.86	210.34	51.434	59.750	631.92	-0.047096	6.2065e-05	0.11940	vapor
1821.7	1.0000	0.29435	3.3973	87.884	103.03	210.44	51.444	59.760	632.43	-0.047301	6.2132e-05	0.11955	vapor
1824.6	1.0000	0.29387	3.4028	88.037	103.21	210.54	51.454	59.770	632.94	-0.047504	6.2199e-05	0.11970	vapor
1827.6	1.0000	0.29339	3.4084	88.190	103.39	210.64	51.464	59.781	633.44	-0.047707	6.2266e-05	0.11985	vapor
1830.6	1.0000	0.29292	3.4139	88.343	103.57	210.73	51.474	59.791	633.95	-0.047909	6.2333e-05	0.12001	vapor
1833.5	1.0000	0.29244	3.4195	88.496	103.74	210.83	51.484	59.801	634.45	-0.048110	6.2400e-05	0.12016	vapor
1836.5	1.0000	0.29197	3.4250	88.649	103.92	210.93	51.494	59.811	634.96	-0.048311	6.2467e-05	0.12031	vapor
1839.5	1.0000	0.29150	3.4305	88.802	104.10	211.02	51.504	59.821	635.46	-0.048510	6.2534e-05	0.12047	vapor
1842.5	1.0000	0.29103	3.4361	88.955	104.28	211.12	51.514	59.831	635.97	-0.048709	6.2601e-05	0.12062	vapor
1845.4	1.0000	0.29056	3.4416	89.108	104.46	211.22	51.524	59.841	636.47	-0.048907	6.2668e-05	0.12077	vapor
1848.4	1.0000	0.29009	3.4472	89.261	104.63	211.31	51.534	59.851	636.98	-0.049104	6.2734e-05	0.12092	vapor
1851.4	1.0000	0.28963	3.4527	89.414	104.81	211.41	51.544	59.860	637.48	-0.049300	6.2801e-05	0.12107	vapor
1854.4	1.0000	0.28916	3.4583	89.568	104.99	211.51	51.554	59.870	637.98	-0.049496	6.2868e-05	0.12123	vapor
1857.3	1.0000	0.28870	3.4638	89.721	105.17	211.60	51.564	59.880	638.49	-0.049691	6.2934e-05	0.12138	vapor
1860.3	1.0000	0.28824	3.4693	89.874	105.34	211.70	51.573	59.890	638.99	-0.049884	6.3001e-05	0.12153	vapor
1863.3	1.0000	0.28778	3.4749	90.027	105.52	211.79	51.583	59.899	639.49	-0.050078	6.3067e-05	0.12168	vapor
1866.2	1.0000	0.28732	3.4804	90.181	105.70	211.89	51.593	59.909	639.99	-0.050270	6.3134e-05	0.12183	vapor
1869.2	1.0000	0.28686	3.4860	90.334	105.88	211.98	51.602	59.919	640.49	-0.050462	6.3200e-05	0.12198	vapor
1872.2	1.0000	0.28641	3.4915	90.488	106.06	212.08	51.612	59.928	640.99	-0.050652	6.3267e-05	0.12214	vapor
1875.2	1.0000	0.28595	3.4971	90.641	106.24	212.17	51.621	59.938	641.49	-0.050843	6.3333e-05	0.12229	vapor
1878.1	1.0000	0.28550	3.5026	90.794	106.41	212.27	51.631	59.947	641.99	-0.051032	6.3399e-05	0.12244	vapor
1881.1	1.0000	0.28505	3.5081	90.948	106.59	212.36	51.640	59.957	642.49	-0.051220	6.3465e-05	0.12259	vapor
1884.1	1.0000	0.28460	3.5137	91.101	106.77	212.46	51.650	59.966	642.99	-0.051408	6.3532e-05	0.12274	vapor
1887.1	1.0000	0.28415	3.5192	91.255	106.95	212.55	51.659	59.975	643.49	-0.051595	6.3598e-05	0.12289	vapor
1890.0	1.0000	0.28371	3.5248	91.408	107.13	212.65	51.669	59.985	643.99	-0.051782	6.3664e-05	0.12304	vapor
1893.0	1.0000	0.28326	3.5303	91.562	107.30	212.74	51.678	59.994	644.49	-0.051967	6.3730e-05	0.12319	vapor
1896.0	1.0000	0.28282	3.5359	91.716	107.48	212.84	51.687	60.003	644.98	-0.052152	6.3796e-05	0.12334	vapor
1898.9	1.0000	0.28237	3.5414	91.869	107.66	212.93	51.697	60.013	645.48	-0.052336	6.3862e-05	0.12349	vapor
1901.9	1.0000	0.28193	3.5469	92.023	107.84	213.02	51.706	60.022	645.98	-0.052520	6.3928e-05	0.12364	vapor
