Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
261.23	100.00	1029.6	0.00097125	7.0678	7.4953	38.034	41.067	90.736	726.90	0.0051974	0.00013761	0.13286	liquid
261.40	100.00	1028.8	0.00097196	7.0832	7.5109	38.093	41.061	90.794	725.69	0.0053563	0.00013725	0.13266	liquid
261.57	100.00	1028.1	0.00097268	7.0985	7.5266	38.153	41.056	90.854	724.48	0.0055162	0.00013690	0.13247	liquid
261.75	100.00	1027.3	0.00097339	7.1139	7.5423	38.213	41.051	90.913	723.27	0.0056770	0.00013655	0.13227	liquid
261.92	100.00	1026.6	0.00097411	7.1292	7.5579	38.273	41.046	90.973	722.06	0.0058387	0.00013620	0.13208	liquid
262.09	100.00	1025.8	0.00097483	7.1446	7.5736	38.333	41.041	91.033	720.85	0.0060013	0.00013585	0.13189	liquid
262.26	100.00	1025.1	0.00097556	7.1600	7.5893	38.393	41.036	91.094	719.63	0.0061648	0.00013550	0.13169	liquid
262.44	100.00	1024.3	0.00097628	7.1753	7.6050	38.453	41.031	91.155	718.42	0.0063294	0.00013515	0.13150	liquid
262.61	100.00	1023.5	0.00097701	7.1907	7.6207	38.512	41.026	91.216	717.20	0.0064948	0.00013480	0.13131	liquid
262.78	100.00	1022.8	0.00097774	7.2061	7.6365	38.572	41.021	91.278	715.99	0.0066612	0.00013445	0.13111	liquid
262.95	100.00	1022.0	0.00097848	7.2216	7.6522	38.632	41.016	91.341	714.77	0.0068286	0.00013411	0.13092	liquid
263.13	100.00	1021.2	0.00097921	7.2370	7.6679	38.692	41.011	91.403	713.55	0.0069970	0.00013376	0.13073	liquid
263.30	100.00	1020.5	0.00097995	7.2524	7.6837	38.752	41.006	91.466	712.33	0.0071664	0.00013341	0.13053	liquid
263.47	100.00	1019.7	0.00098069	7.2679	7.6995	38.812	41.001	91.530	711.11	0.0073367	0.00013307	0.13034	liquid
263.64	100.00	1018.9	0.00098143	7.2833	7.7152	38.872	40.997	91.594	709.89	0.0075081	0.00013273	0.13015	liquid
263.81	100.00	1018.1	0.00098218	7.2988	7.7310	38.932	40.992	91.658	708.67	0.0076804	0.00013239	0.12995	liquid
263.99	100.00	1017.4	0.00098292	7.3143	7.7468	38.991	40.987	91.723	707.45	0.0078538	0.00013204	0.12976	liquid
264.16	100.00	1016.6	0.00098367	7.3297	7.7627	39.051	40.983	91.789	706.23	0.0080282	0.00013170	0.12957	liquid
264.33	100.00	1015.8	0.00098443	7.3452	7.7785	39.111	40.978	91.854	705.00	0.0082036	0.00013136	0.12937	liquid
264.50	100.00	1015.0	0.00098518	7.3607	7.7943	39.171	40.974	91.921	703.78	0.0083801	0.00013102	0.12918	liquid
264.68	100.00	1014.3	0.00098594	7.3763	7.8102	39.231	40.969	91.987	702.55	0.0085576	0.00013069	0.12899	liquid
264.85	100.00	1013.5	0.00098670	7.3918	7.8260	39.291	40.965	92.054	701.32	0.0087362	0.00013035	0.12879	liquid
265.02	100.00	1012.7	0.00098746	7.4073	7.8419	39.351	40.960	92.122	700.09	0.0089158	0.00013001	0.12860	liquid
265.19	100.00	1011.9	0.00098823	7.4229	7.8578	39.411	40.956	92.190	698.87	0.0090966	0.00012968	0.12841	liquid
265.37	100.00	1011.1	0.00098899	7.4384	7.8737	39.471	40.952	92.258	697.63	0.0092784	0.00012934	0.12821	liquid
265.54	100.00	1010.3	0.00098976	7.4540	7.8896	39.531	40.947	92.327	696.40	0.0094613	0.00012901	0.12802	liquid
265.71	100.00	1009.6	0.00099053	7.4696	7.9055	39.590	40.943	92.397	695.17	0.0096453	0.00012867	0.12783	liquid
265.88	100.00	1008.8	0.00099131	7.4852	7.9214	39.650	40.939	92.466	693.94	0.0098304	0.00012834	0.12763	liquid
266.06	100.00	1008.0	0.00099209	7.5008	7.9374	39.710	40.935	92.537	692.70	0.010017	0.00012801	0.12744	liquid
266.23	100.00	1007.2	0.00099287	7.5164	7.9533	39.770	40.931	92.608	691.47	0.010204	0.00012768	0.12724	liquid
266.40	100.00	1006.4	0.00099365	7.5320	7.9693	39.830	40.927	92.679	690.23	0.010393	0.00012735	0.12705	liquid
266.57	100.00	1005.6	0.00099444	7.5476	7.9853	39.890	40.923	92.751	688.99	0.010582	0.00012702	0.12686	liquid
266.74	100.00	1004.8	0.00099523	7.5633	8.0013	39.950	40.919	92.823	687.75	0.010773	0.00012669	0.12666	liquid
266.92	100.00	1004.0	0.00099602	7.5789	8.0173	40.010	40.915	92.896	686.51	0.010965	0.00012636	0.12647	liquid
267.09	100.00	1003.2	0.00099681	7.5946	8.0333	40.070	40.911	92.969	685.27	0.011158	0.00012603	0.12628	liquid
267.26	100.00	1002.4	0.00099761	7.6103	8.0493	40.130	40.907	93.043	684.03	0.011353	0.00012570	0.12608	liquid
267.43	100.00	1001.6	0.00099841	7.6260	8.0654	40.190	40.904	93.118	682.79	0.011548	0.00012538	0.12589	liquid
267.61	100.00	1000.8	0.00099921	7.6417	8.0814	40.250	40.900	93.192	681.55	0.011745	0.00012505	0.12570	liquid
267.78	100.00	999.99	0.0010000	7.6574	8.0975	40.310	40.896	93.268	680.30	0.011943	0.00012473	0.12550	liquid
267.95	100.00	999.18	0.0010008	7.6731	8.1136	40.370	40.893	93.344	679.05	0.012142	0.00012440	0.12531	liquid
268.12	100.00	998.37	0.0010016	7.6888	8.1296	40.430	40.889	93.420	677.81	0.012343	0.00012408	0.12512	liquid
268.30	100.00	997.56	0.0010024	7.7046	8.1458	40.490	40.886	93.497	676.56	0.012545	0.00012376	0.12492	liquid
268.47	100.00	996.75	0.0010033	7.7203	8.1619	40.550	40.882	93.575	675.31	0.012748	0.00012344	0.12473	liquid
268.64	100.00	995.93	0.0010041	7.7361	8.1780	40.610	40.879	93.653	674.06	0.012952	0.00012311	0.12454	liquid
268.81	100.00	995.12	0.0010049	7.7519	8.1942	40.671	40.875	93.732	672.81	0.013157	0.00012279	0.12434	liquid
268.99	100.00	994.30	0.0010057	7.7677	8.2103	40.731	40.872	93.811	671.55	0.013364	0.00012247	0.12415	liquid
269.16	100.00	993.48	0.0010066	7.7835	8.2265	40.791	40.869	93.891	670.30	0.013573	0.00012215	0.12396	liquid
269.33	100.00	992.66	0.0010074	7.7993	8.2427	40.851	40.865	93.971	669.04	0.013782	0.00012184	0.12376	liquid
269.50	100.00	991.84	0.0010082	7.8152	8.2589	40.911	40.862	94.052	667.79	0.013993	0.00012152	0.12357	liquid
