Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
299.41	66.228	690.01	0.0014492	11.921	12.344	55.744	48.451	342.74	255.25	0.25576	5.4574e-05	0.080607	0.00042358	259.56	0.0038527	16.026	17.149	71.792	53.861	457.98	186.67	0.92191	2.0421e-05	0.052555
299.48	66.342	688.69	0.0014520	11.936	12.360	55.794	48.548	347.26	254.06	0.25779	5.4402e-05	0.080622	0.00041513	260.66	0.0038364	16.015	17.135	71.740	53.987	465.48	186.51	0.91932	2.0468e-05	0.052928
299.56	66.456	687.35	0.0014549	11.950	12.375	55.845	48.648	351.92	252.86	0.25985	5.4229e-05	0.080642	0.00040672	261.77	0.0038201	16.004	17.121	71.687	54.114	473.23	186.35	0.91671	2.0516e-05	0.053308
299.63	66.571	686.01	0.0014577	11.964	12.391	55.896	48.751	356.73	251.66	0.26194	5.4056e-05	0.080665	0.00039836	262.90	0.0038037	15.992	17.107	71.633	54.244	481.24	186.18	0.91409	2.0564e-05	0.053695
299.71	66.685	684.65	0.0014606	11.979	12.408	55.948	48.855	361.70	250.45	0.26405	5.3881e-05	0.080693	0.00039005	264.04	0.0037874	15.981	17.092	71.579	54.375	489.51	186.01	0.91144	2.0613e-05	0.054090
299.78	66.799	683.28	0.0014635	11.994	12.424	55.999	48.962	366.84	249.23	0.26620	5.3706e-05	0.080724	0.00038178	265.18	0.0037710	15.969	17.078	71.525	54.509	498.07	185.84	0.90878	2.0663e-05	0.054494
299.86	66.914	681.90	0.0014665	12.008	12.440	56.051	49.072	372.16	248.01	0.26837	5.3530e-05	0.080760	0.00037356	266.34	0.0037545	15.958	17.063	71.470	54.644	506.93	185.66	0.90609	2.0714e-05	0.054906
299.93	67.028	680.50	0.0014695	12.023	12.457	56.104	49.185	377.67	246.78	0.27057	5.3353e-05	0.080801	0.00036540	267.52	0.0037381	15.946	17.049	71.414	54.782	516.11	185.49	0.90338	2.0765e-05	0.055327
300.01	67.142	679.10	0.0014725	12.038	12.473	56.156	49.300	383.38	245.54	0.27281	5.3174e-05	0.080846	0.00035728	268.70	0.0037216	15.934	17.034	71.358	54.922	525.61	185.31	0.90065	2.0817e-05	0.055757
300.08	67.257	677.68	0.0014756	12.053	12.490	56.209	49.418	389.29	244.30	0.27508	5.2995e-05	0.080896	0.00034921	269.90	0.0037050	15.922	17.019	71.302	55.065	535.47	185.13	0.89790	2.0869e-05	0.056197
300.16	67.371	676.24	0.0014788	12.068	12.506	56.262	49.539	395.42	243.06	0.27737	5.2815e-05	0.080952	0.00034119	271.12	0.0036885	15.910	17.003	71.245	55.210	545.69	184.95	0.89512	2.0923e-05	0.056646
300.23	67.485	674.80	0.0014819	12.083	12.523	56.316	49.663	401.78	241.80	0.27971	5.2634e-05	0.081012	0.00033323	272.34	0.0036719	15.897	16.988	71.187	55.357	556.31	184.76	0.89232	2.0977e-05	0.057106
300.30	67.600	673.34	0.0014851	12.098	12.540	56.370	49.790	408.39	240.54	0.28208	5.2452e-05	0.081079	0.00032531	273.58	0.0036552	15.885	16.972	71.129	55.508	567.34	184.57	0.88949	2.1032e-05	0.057577
300.38	67.714	671.86	0.0014884	12.114	12.557	56.425	49.921	415.26	239.27	0.28448	5.2268e-05	0.081150	0.00031744	274.84	0.0036385	15.872	16.957	71.070	55.661	578.81	184.38	0.88664	2.1088e-05	0.058060
