Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
221.29	6.3227	1161.4	0.00086102	3.9049	3.9289	24.780	42.603	86.499	941.89	-0.012672	0.00023418	0.17129	0.015392	16.657	0.060036	17.345	19.016	92.956	28.287	41.325	223.26	2.4691	1.1127e-05	0.011544
221.73	6.4370	1159.8	0.00086220	3.9421	3.9665	24.948	42.577	86.556	938.77	-0.012497	0.00023250	0.17075	0.015291	16.946	0.059010	17.350	19.022	92.849	28.344	41.455	223.29	2.4561	1.1149e-05	0.011584
222.15	6.5514	1158.2	0.00086338	3.9788	4.0037	25.114	42.551	86.613	935.68	-0.012323	0.00023085	0.17022	0.015191	17.236	0.058019	17.355	19.028	92.744	28.400	41.586	223.32	2.4434	1.1170e-05	0.011625
222.58	6.6657	1156.7	0.00086454	4.0151	4.0405	25.277	42.526	86.671	932.63	-0.012148	0.00022924	0.16970	0.015093	17.525	0.057060	17.360	19.034	92.641	28.456	41.716	223.35	2.4310	1.1192e-05	0.011665
222.99	6.7800	1155.1	0.00086569	4.0509	4.0767	25.438	42.501	86.728	929.63	-0.011974	0.00022765	0.16918	0.014996	17.815	0.056133	17.365	19.040	92.539	28.511	41.846	223.38	2.4188	1.1213e-05	0.011705
223.40	6.8943	1153.6	0.00086684	4.0863	4.1126	25.597	42.477	86.787	926.66	-0.011800	0.00022610	0.16867	0.014901	18.104	0.055235	17.370	19.045	92.439	28.566	41.975	223.41	2.4069	1.1234e-05	0.011744
223.81	7.0087	1152.1	0.00086798	4.1212	4.1480	25.753	42.453	86.846	923.73	-0.011625	0.00022459	0.16817	0.014807	18.394	0.054365	17.374	19.051	92.341	28.621	42.104	223.43	2.3953	1.1255e-05	0.011784
224.21	7.1230	1150.6	0.00086911	4.1558	4.1830	25.908	42.429	86.905	920.83	-0.011451	0.00022310	0.16768	0.014714	18.684	0.053522	17.379	19.056	92.244	28.675	42.233	223.45	2.3839	1.1275e-05	0.011823
224.61	7.2373	1149.1	0.00087023	4.1899	4.2176	26.060	42.406	86.964	917.97	-0.011277	0.00022164	0.16719	0.014622	18.974	0.052705	17.383	19.062	92.148	28.729	42.362	223.47	2.3727	1.1296e-05	0.011861
225.00	7.3516	1147.7	0.00087134	4.2237	4.2519	26.210	42.383	87.024	915.14	-0.011103	0.00022020	0.16670	0.014532	19.263	0.051912	17.387	19.067	92.054	28.782	42.490	223.49	2.3617	1.1316e-05	0.011900
225.39	7.4659	1146.2	0.00087244	4.2571	4.2858	26.359	42.361	87.084	912.35	-0.010929	0.00021880	0.16622	0.014443	19.553	0.051142	17.392	19.072	91.961	28.836	42.618	223.50	2.3509	1.1336e-05	0.011938
225.77	7.5803	1144.8	0.00087354	4.2901	4.3193	26.505	42.339	87.145	909.58	-0.010755	0.00021742	0.16575	0.014355	19.843	0.050395	17.396	19.077	91.870	28.888	42.746	223.52	2.3403	1.1356e-05	0.011976
226.15	7.6946	1143.3	0.00087463	4.3228	4.3524	26.650	42.317	87.206	906.85	-0.010581	0.00021607	0.16529	0.014268	20.133	0.049669	17.400	19.082	91.780	28.941	42.874	223.53	2.3300	1.1375e-05	0.012014
226.53	7.8089	1141.9	0.00087571	4.3551	4.3852	26.793	42.296	87.267	904.15	-0.010407	0.00021474	0.16483	0.014182	20.423	0.048964	17.404	19.086	91.691	28.993	43.002	223.54	2.3198	1.1394e-05	0.012052
226.90	7.9232	1140.5	0.00087679	4.3871	4.4177	26.934	42.275	87.329	901.47	-0.010233	0.00021343	0.16437	0.014097	20.714	0.048278	17.407	19.091	91.603	29.045	43.129	223.55	2.3098	1.1414e-05	0.012089
227.27	8.0376	1139.1	0.00087786	4.4188	4.4498	27.074	42.254	87.391	898.83	-0.010059	0.00021215	0.16392	0.014013	21.004	0.047610	17.411	19.095	91.517	29.096	43.256	223.56	2.2999	1.1433e-05	0.012127
227.63	8.1519	1137.8	0.00087892	4.4501	4.4817	27.212	42.234	87.453	896.21	-0.0098847	0.00021088	0.16348	0.013930	21.294	0.046961	17.415	19.100	91.431	29.148	43.383	223.56	2.2903	1.1452e-05	0.012164
227.99	8.2662	1136.4	0.00087998	4.4812	4.5132	27.348	42.213	87.516	893.62	-0.0097106	0.00020964	0.16304	0.013848	21.585	0.046329	17.419	19.104	91.347	29.198	43.510	223.57	2.2808	1.1470e-05	0.012201
228.34	8.3805	1135.0	0.00088103	4.5119	4.5444	27.483	42.194	87.579	891.06	-0.0095364	0.00020843	0.16260	0.013767	21.875	0.045714	17.422	19.108	91.264	29.249	43.637	223.57	2.2715	1.1489e-05	0.012237
228.69	8.4949	1133.7	0.00088207	4.5423	4.5753	27.617	42.174	87.642	888.52	-0.0093621	0.00020723	0.16217	0.013687	22.166	0.045114	17.426	19.112	91.181	29.299	43.764	223.58	2.2623	1.1507e-05	0.012274
229.04	8.6092	1132.4	0.00088311	4.5725	4.6060	27.749	42.155	87.706	886.00	-0.0091878	0.00020605	0.16174	0.013608	22.457	0.044530	17.429	19.116	91.100	29.349	43.890	223.58	2.2533	1.1526e-05	0.012310
229.39	8.7235	1131.0	0.00088414	4.6024	4.6363	27.879	42.136	87.770	883.51	-0.0090133	0.00020489	0.16132	0.013529	22.748	0.043960	17.432	19.120	91.020	29.399	44.017	223.58	2.2444	1.1544e-05	0.012346
229.73	8.8378	1129.7	0.00088517	4.6320	4.6664	28.008	42.118	87.835	881.04	-0.0088388	0.00020374	0.16091	0.013452	23.039	0.043405	17.436	19.124	90.940	29.449	44.143	223.58	2.2357	1.1562e-05	0.012382
230.07	8.9521	1128.4	0.00088619	4.6613	4.6962	28.136	42.099	87.899	878.60	-0.0086642	0.00020262	0.16049	0.013375	23.330	0.042863	17.439	19.127	90.862	29.498	44.269	223.57	2.2271	1.1580e-05	0.012418
230.40	9.0665	1127.1	0.00088721	4.6904	4.7258	28.262	42.081	87.964	876.18	-0.0084895	0.00020151	0.16008	0.013299	23.621	0.042335	17.442	19.131	90.785	29.547	44.396	223.57	2.2186	1.1597e-05	0.012454
230.74	9.1808	1125.8	0.00088822	4.7192	4.7551	28.387	42.063	88.029	873.78	-0.0083147	0.00020042	0.15968	0.013224	23.913	0.041819	17.445	19.135	90.708	29.596	44.522	223.57	2.2103	1.1615e-05	0.012490
231.06	9.2951	1124.6	0.00088923	4.7477	4.7841	28.511	42.046	88.095	871.40	-0.0081398	0.00019935	0.15928	0.013150	24.204	0.041315	17.448	19.138	90.632	29.644	44.648	223.56	2.2021	1.1633e-05	0.012525
231.39	9.4094	1123.3	0.00089023	4.7760	4.8129	28.634	42.028	88.161	869.05	-0.0079647	0.00019829	0.15888	0.013076	24.496	0.040823	17.451	19.141	90.557	29.693	44.774	223.55	2.1940	1.1650e-05	0.012560
231.71	9.5238	1122.0	0.00089123	4.8041	4.8415	28.755	42.011	88.227	866.71	-0.0077895	0.00019725	0.15849	0.013004	24.788	0.040342	17.454	19.145	90.483	29.741	44.900	223.54	2.1861	1.1667e-05	0.012595
232.03	9.6381	1120.8	0.00089222	4.8320	4.8698	28.876	41.994	88.294	864.39	-0.0076142	0.00019623	0.15810	0.012932	25.080	0.039872	17.456	19.148	90.410	29.788	45.026	223.54	2.1782	1.1684e-05	0.012630
232.35	9.7524	1119.6	0.00089321	4.8596	4.8979	28.995	41.978	88.360	862.09	-0.0074387	0.00019522	0.15771	0.012860	25.372	0.039413	17.459	19.151	90.337	29.836	45.152	223.53	2.1705	1.1701e-05	0.012665
232.66	9.8667	1118.3	0.00089419	4.8870	4.9258	29.113	41.961	88.427	859.82	-0.0072631	0.00019422	0.15733	0.012790	25.665	0.038964	17.462	19.154	90.265	29.883	45.278	223.52	2.1629	1.1718e-05	0.012700
232.98	9.9810	1117.1	0.00089517	4.9141	4.9535	29.230	41.945	88.495	857.56	-0.0070873	0.00019324	0.15695	0.012720	25.957	0.038525	17.465	19.157	90.194	29.930	45.404	223.50	2.1554	1.1735e-05	0.012735
233.29	10.095	1115.9	0.00089615	4.9411	4.9809	29.345	41.929	88.562	855.32	-0.0069113	0.00019227	0.15658	0.012650	26.250	0.038096	17.467	19.160	90.124	29.977	45.530	223.49	2.1480	1.1752e-05	0.012769
233.59	10.210	1114.7	0.00089712	4.9678	5.0081	29.460	41.914	88.630	853.09	-0.0067352	0.00019131	0.15621	0.012582	26.543	0.037675	17.470	19.163	90.054	30.024	45.656	223.48	2.1407	1.1768e-05	0.012804
233.90	10.324	1113.5	0.00089808	4.9944	5.0352	29.574	41.898	88.699	850.89	-0.0065588	0.00019037	0.15584	0.012514	26.836	0.037264	17.472	19.165	89.985	30.070	45.782	223.46	2.1335	1.1785e-05	0.012838
234.20	10.438	1112.3	0.00089905	5.0207	5.0620	29.687	41.883	88.767	848.70	-0.0063823	0.00018944	0.15547	0.012446	27.129	0.036861	17.475	19.168	89.917	30.117	45.908	223.45	2.1264	1.1801e-05	0.012872
234.50	10.553	1111.1	0.00090000	5.0468	5.0886	29.798	41.868	88.836	846.53	-0.0062056	0.00018852	0.15511	0.012380	27.422	0.036467	17.477	19.170	89.850	30.163	46.034	223.43	2.1194	1.1818e-05	0.012907
234.79	10.667	1109.9	0.00090096	5.0728	5.1151	29.909	41.853	88.905	844.37	-0.0060288	0.00018762	0.15475	0.012313	27.716	0.036080	17.479	19.173	89.783	30.209	46.160	223.41	2.1125	1.1834e-05	0.012941
235.09	10.781	1108.8	0.00090191	5.0985	5.1413	30.019	41.838	88.975	842.23	-0.0058517	0.00018672	0.15439	0.012248	28.010	0.035702	17.481	19.175	89.716	30.254	46.287	223.40	2.1057	1.1850e-05	0.012974
235.38	10.896	1107.6	0.00090286	5.1241	5.1674	30.128	41.824	89.044	840.11	-0.0056744	0.00018584	0.15404	0.012183	28.304	0.035331	17.484	19.178	89.650	30.300	46.413	223.38	2.0989	1.1866e-05	0.013008
235.67	11.010	1106.4	0.00090380	5.1495	5.1933	30.236	41.809	89.114	838.00	-0.0054968	0.00018497	0.15369	0.012119	28.598	0.034968	17.486	19.180	89.585	30.345	46.539	223.36	2.0923	1.1882e-05	0.013042
235.96	11.124	1105.3	0.00090474	5.1747	5.2190	30.343	41.795	89.185	835.91	-0.0053191	0.00018411	0.15334	0.012055	28.892	0.034612	17.488	19.183	89.521	30.390	46.665	223.34	2.0857	1.1898e-05	0.013076
236.24	11.239	1104.1	0.00090568	5.1997	5.2445	30.449	41.781	89.255	833.83	-0.0051411	0.00018326	0.15300	0.011991	29.187	0.034262	17.490	19.185	89.457	30.435	46.792	223.32	2.0792	1.1913e-05	0.013109
236.53	11.353	1103.0	0.00090662	5.2245	5.2698	30.554	41.767	89.326	831.76	-0.0049629	0.00018243	0.15266	0.011929	29.481	0.033920	17.492	19.187	89.393	30.480	46.918	223.29	2.0728	1.1929e-05	0.013143
236.81	11.467	1101.9	0.00090755	5.2492	5.2950	30.659	41.754	89.397	829.72	-0.0047845	0.00018160	0.15232	0.011867	29.776	0.033584	17.494	19.189	89.330	30.525	47.045	223.27	2.0665	1.1945e-05	0.013176
237.09	11.582	1100.7	0.00090848	5.2737	5.3200	30.762	41.740	89.468	827.68	-0.0046058	0.00018078	0.15198	0.011805	30.071	0.033254	17.496	19.191	89.268	30.569	47.171	223.25	2.0603	1.1960e-05	0.013210
237.37	11.696	1099.6	0.00090940	5.2981	5.3449	30.865	41.727	89.540	825.66	-0.0044269	0.00017997	0.15165	0.011744	30.367	0.032931	17.498	19.193	89.206	30.613	47.298	223.23	2.0541	1.1976e-05	0.013243
237.64	11.810	1098.5	0.00091032	5.3223	5.3696	30.967	41.714	89.612	823.65	-0.0042477	0.00017918	0.15131	0.011683	30.662	0.032613	17.500	19.195	89.145	30.657	47.425	223.20	2.0480	1.1991e-05	0.013276
237.91	11.925	1097.4	0.00091124	5.3463	5.3941	31.069	41.701	89.684	821.66	-0.0040682	0.00017839	0.15099	0.011623	30.958	0.032302	17.502	19.197	89.084	30.701	47.552	223.18	2.0420	1.2006e-05	0.013309
238.18	12.039	1096.3	0.00091216	5.3702	5.4185	31.169	41.688	89.757	819.67	-0.0038885	0.00017761	0.15066	0.011563	31.254	0.031996	17.503	19.199	89.024	30.745	47.679	223.15	2.0360	1.2022e-05	0.013342
238.45	12.153	1095.2	0.00091307	5.3939	5.4427	31.269	41.676	89.830	817.70	-0.0037085	0.00017684	0.15033	0.011504	31.550	0.031695	17.505	19.200	88.964	30.789	47.806	223.12	2.0302	1.2037e-05	0.013375
238.72	12.267	1094.1	0.00091398	5.4175	5.4668	31.368	41.663	89.903	815.75	-0.0035283	0.00017608	0.15001	0.011445	31.847	0.031400	17.507	19.202	88.905	30.832	47.933	223.10	2.0243	1.2052e-05	0.013408
238.99	12.382	1093.0	0.00091489	5.4409	5.4907	31.466	41.651	89.976	813.80	-0.0033477	0.00017532	0.14969	0.011387	32.143	0.031111	17.508	19.204	88.846	30.876	48.060	223.07	2.0186	1.2067e-05	0.013441
239.25	12.496	1091.9	0.00091580	5.4642	5.5145	31.564	41.639	90.050	811.87	-0.0031669	0.00017458	0.14938	0.011329	32.440	0.030826	17.510	19.205	88.787	30.919	48.188	223.04	2.0129	1.2082e-05	0.013474
239.51	12.610	1090.9	0.00091670	5.4873	5.5382	31.660	41.627	90.124	809.95	-0.0029858	0.00017385	0.14906	0.011272	32.737	0.030546	17.512	19.207	88.729	30.962	48.316	223.01	2.0073	1.2097e-05	0.013507
239.77	12.725	1089.8	0.00091760	5.5103	5.5617	31.757	41.615	90.198	808.04	-0.0028044	0.00017312	0.14875	0.011215	33.035	0.030271	17.513	19.208	88.672	31.005	48.443	222.98	2.0017	1.2111e-05	0.013540
240.03	12.839	1088.7	0.00091850	5.5331	5.5850	31.852	41.603	90.273	806.15	-0.0026227	0.00017240	0.14844	0.011158	33.332	0.030001	17.515	19.210	88.615	31.047	48.571	222.95	1.9962	1.2126e-05	0.013572
240.29	12.953	1087.7	0.00091939	5.5559	5.6083	31.947	41.592	90.347	804.26	-0.0024407	0.00017169	0.14813	0.011102	33.630	0.029735	17.516	19.211	88.558	31.090	48.700	222.92	1.9908	1.2141e-05	0.013605
240.54	13.068	1086.6	0.00092028	5.5784	5.6314	32.041	41.580	90.423	802.38	-0.0022584	0.00017098	0.14782	0.011047	33.928	0.029474	17.518	19.213	88.502	31.132	48.828	222.89	1.9854	1.2155e-05	0.013638
240.80	13.182	1085.6	0.00092117	5.6009	5.6543	32.134	41.569	90.498	800.52	-0.0020757	0.00017029	0.14752	0.010991	34.227	0.029217	17.519	19.214	88.446	31.175	48.956	222.86	1.9801	1.2170e-05	0.013670
241.05	13.296	1084.5	0.00092206	5.6232	5.6772	32.227	41.558	90.574	798.67	-0.0018928	0.00016960	0.14722	0.010937	34.525	0.028964	17.520	19.215	88.390	31.217	49.085	222.83	1.9748	1.2185e-05	0.013703
241.30	13.411	1083.5	0.00092295	5.6454	5.6999	32.320	41.547	90.650	796.82	-0.0017095	0.00016892	0.14692	0.010882	34.824	0.028716	17.522	19.216	88.335	31.259	49.214	222.80	1.9696	1.2199e-05	0.013735
241.55	13.525	1082.4	0.00092383	5.6675	5.7225	32.411	41.536	90.726	794.99	-0.0015258	0.00016824	0.14662	0.010828	35.123	0.028471	17.523	19.218	88.281	31.301	49.343	222.76	1.9645	1.2213e-05	0.013768
241.80	13.639	1081.4	0.00092471	5.6894	5.7449	32.502	41.525	90.802	793.17	-0.0013419	0.00016758	0.14632	0.010775	35.422	0.028231	17.524	19.219	88.226	31.343	49.472	222.73	1.9594	1.2228e-05	0.013800
242.04	13.754	1080.4	0.00092559	5.7112	5.7673	32.593	41.515	90.879	791.36	-0.0011576	0.00016691	0.14603	0.010721	35.722	0.027994	17.525	19.220	88.172	31.385	49.601	222.70	1.9543	1.2242e-05	0.013832
242.29	13.868	1079.4	0.00092647	5.7329	5.7895	32.682	41.504	90.956	789.55	-0.00097298	0.00016626	0.14574	0.010668	36.022	0.027761	17.527	19.221	88.119	31.426	49.731	222.66	1.9493	1.2256e-05	0.013865
242.53	13.982	1078.3	0.00092735	5.7545	5.8116	32.772	41.494	91.034	787.76	-0.00078799	0.00016561	0.14545	0.010616	36.322	0.027532	17.528	19.222	88.065	31.468	49.861	222.63	1.9444	1.2270e-05	0.013897
242.77	14.097	1077.3	0.00092822	5.7760	5.8336	32.860	41.484	91.111	785.98	-0.00060266	0.00016497	0.14516	0.010564	36.622	0.027306	17.529	19.223	88.013	31.509	49.991	222.59	1.9395	1.2285e-05	0.013929
243.01	14.211	1076.3	0.00092909	5.7973	5.8554	32.949	41.474	91.189	784.20	-0.00041696	0.00016434	0.14487	0.010512	36.923	0.027084	17.530	19.224	87.960	31.551	50.121	222.56	1.9346	1.2299e-05	0.013962
243.25	14.325	1075.3	0.00092996	5.8186	5.8772	33.036	41.464	91.268	782.44	-0.00023091	0.00016371	0.14458	0.010461	37.224	0.026865	17.531	19.225	87.908	31.592	50.252	222.52	1.9298	1.2313e-05	0.013994
243.49	14.440	1074.3	0.00093083	5.8397	5.8989	33.123	41.454	91.346	780.68	-4.4480e-05	0.00016309	0.14430	0.010410	37.525	0.026649	17.532	19.226	87.856	31.633	50.383	222.48	1.9250	1.2327e-05	0.014026
243.72	14.554	1073.3	0.00093170	5.8607	5.9204	33.210	41.444	91.425	778.93	0.00014232	0.00016247	0.14402	0.010359	37.826	0.026437	17.533	19.226	87.804	31.674	50.514	222.45	1.9203	1.2341e-05	0.014058
243.96	14.668	1072.3	0.00093256	5.8816	5.9418	33.296	41.435	91.504	777.19	0.00032949	0.00016186	0.14374	0.010308	38.128	0.026228	17.534	19.227	87.753	31.715	50.645	222.41	1.9156	1.2355e-05	0.014090
244.19	14.783	1071.3	0.00093342	5.9024	5.9632	33.381	41.425	91.584	775.46	0.00051705	0.00016126	0.14346	0.010258	38.430	0.026021	17.535	19.228	87.702	31.756	50.777	222.37	1.9110	1.2368e-05	0.014122
244.42	14.897	1070.3	0.00093428	5.9231	5.9844	33.466	41.416	91.664	773.74	0.00070499	0.00016066	0.14318	0.010209	38.732	0.025818	17.536	19.229	87.652	31.797	50.908	222.33	1.9064	1.2382e-05	0.014154
244.65	15.011	1069.4	0.00093514	5.9437	6.0055	33.550	41.407	91.744	772.03	0.00089333	0.00016007	0.14291	0.010159	39.035	0.025618	17.537	19.229	87.602	31.837	51.040	222.30	1.9019	1.2396e-05	0.014186
244.88	15.126	1068.4	0.00093600	5.9642	6.0265	33.634	41.397	91.824	770.32	0.0010821	0.00015948	0.14264	0.010110	39.337	0.025421	17.538	19.230	87.552	31.878	51.173	222.26	1.8974	1.2410e-05	0.014219
245.11	15.240	1067.4	0.00093686	5.9846	6.0474	33.718	41.388	91.905	768.63	0.0012712	0.00015890	0.14236	0.010062	39.641	0.025227	17.538	19.230	87.502	31.918	51.305	222.22	1.8929	1.2423e-05	0.014251
245.34	15.354	1066.4	0.00093771	6.0049	6.0683	33.801	41.380	91.986	766.94	0.0014607	0.00015832	0.14209	0.010013	39.944	0.025035	17.539	19.231	87.453	31.959	51.438	222.18	1.8885	1.2437e-05	0.014283
245.56	15.469	1065.5	0.00093857	6.0251	6.0890	33.883	41.371	92.067	765.26	0.0016507	0.00015775	0.14183	0.0099650	40.248	0.024846	17.540	19.231	87.403	31.999	51.571	222.14	1.8841	1.2451e-05	0.014315
245.78	15.583	1064.5	0.00093942	6.0452	6.1096	33.965	41.362	92.149	763.58	0.0018410	0.00015719	0.14156	0.0099172	40.552	0.024660	17.541	19.232	87.355	32.039	51.705	222.10	1.8798	1.2464e-05	0.014347
246.01	15.697	1063.5	0.00094027	6.0652	6.1302	34.047	41.354	92.231	761.91	0.0020318	0.00015663	0.14129	0.0098697	40.856	0.024476	17.541	19.232	87.306	32.080	51.839	222.05	1.8755	1.2478e-05	0.014379
246.23	15.811	1062.6	0.00094112	6.0851	6.1506	34.128	41.345	92.313	760.26	0.0022230	0.00015607	0.14103	0.0098225	41.160	0.024295	17.542	19.233	87.258	32.120	51.973	222.01	1.8712	1.2491e-05	0.014411
246.45	15.926	1061.6	0.00094196	6.1049	6.1709	34.209	41.337	92.395	758.60	0.0024146	0.00015552	0.14077	0.0097756	41.465	0.024117	17.543	19.233	87.210	32.160	52.107	221.97	1.8669	1.2505e-05	0.014443
246.67	16.040	1060.7	0.00094281	6.1246	6.1912	34.289	41.329	92.478	756.96	0.0026067	0.00015498	0.14050	0.0097290	41.770	0.023940	17.543	19.233	87.162	32.200	52.242	221.93	1.8627	1.2518e-05	0.014475
246.89	16.154	1059.7	0.00094365	6.1443	6.2114	34.369	41.320	92.561	755.32	0.0027991	0.00015443	0.14024	0.0096827	42.076	0.023767	17.544	19.234	87.115	32.240	52.377	221.89	1.8586	1.2532e-05	0.014506
247.10	16.269	1058.8	0.00094450	6.1638	6.2314	34.448	41.312	92.645	753.69	0.0029921	0.00015390	0.13999	0.0096366	42.382	0.023595	17.545	19.234	87.068	32.280	52.512	221.84	1.8544	1.2545e-05	0.014538
247.32	16.383	1057.8	0.00094534	6.1833	6.2514	34.527	41.304	92.728	752.07	0.0031854	0.00015337	0.13973	0.0095909	42.688	0.023426	17.545	19.234	87.021	32.320	52.648	221.80	1.8503	1.2558e-05	0.014570
247.54	16.497	1056.9	0.00094618	6.2026	6.2713	34.606	41.297	92.812	750.45	0.0033793	0.00015284	0.13947	0.0095454	42.994	0.023259	17.546	19.234	86.974	32.360	52.784	221.76	1.8463	1.2572e-05	0.014602
247.75	16.612	1055.9	0.00094702	6.2219	6.2911	34.684	41.289	92.897	748.84	0.0035735	0.00015232	0.13922	0.0095002	43.301	0.023094	17.546	19.235	86.927	32.399	52.920	221.71	1.8423	1.2585e-05	0.014634
247.96	16.726	1055.0	0.00094786	6.2411	6.3109	34.761	41.281	92.981	747.24	0.0037683	0.00015180	0.13897	0.0094553	43.608	0.022932	17.547	19.235	86.881	32.439	53.057	221.67	1.8383	1.2598e-05	0.014666
248.17	16.840	1054.1	0.00094870	6.2602	6.3305	34.839	41.274	93.066	745.64	0.0039635	0.00015128	0.13871	0.0094106	43.915	0.022771	17.547	19.235	86.835	32.479	53.194	221.62	1.8343	1.2611e-05	0.014698
248.38	16.955	1053.1	0.00094953	6.2792	6.3501	34.916	41.266	93.152	744.05	0.0041591	0.00015077	0.13846	0.0093662	44.223	0.022613	17.547	19.235	86.790	32.518	53.332	221.58	1.8303	1.2624e-05	0.014730
248.59	17.069	1052.2	0.00095037	6.2982	6.3696	34.992	41.259	93.237	742.46	0.0043553	0.00015027	0.13822	0.0093220	44.531	0.022456	17.548	19.235	86.744	32.558	53.469	221.53	1.8264	1.2637e-05	0.014762
248.80	17.183	1051.3	0.00095120	6.3171	6.3890	35.068	41.252	93.323	740.88	0.0045519	0.00014977	0.13797	0.0092782	44.839	0.022302	17.548	19.235	86.699	32.597	53.607	221.49	1.8226	1.2651e-05	0.014794
249.01	17.298	1050.4	0.00095203	6.3358	6.4083	35.144	41.245	93.409	739.31	0.0047489	0.00014927	0.13772	0.0092345	45.147	0.022150	17.549	19.235	86.654	32.637	53.746	221.44	1.8187	1.2664e-05	0.014826
249.22	17.412	1049.5	0.00095287	6.3546	6.4276	35.219	41.238	93.496	737.74	0.0049465	0.00014878	0.13748	0.0091912	45.456	0.021999	17.549	19.235	86.609	32.676	53.885	221.40	1.8149	1.2677e-05	0.014858
249.42	17.526	1048.6	0.00095370	6.3732	6.4468	35.294	41.231	93.583	736.18	0.0051445	0.00014829	0.13723	0.0091480	45.766	0.021851	17.549	19.235	86.564	32.716	54.024	221.35	1.8111	1.2690e-05	0.014890
249.63	17.641	1047.6	0.00095453	6.3917	6.4658	35.369	41.224	93.670	734.62	0.0053431	0.00014780	0.13699	0.0091052	46.075	0.021704	17.550	19.235	86.520	32.755	54.164	221.30	1.8073	1.2703e-05	0.014922
249.83	17.755	1046.7	0.00095536	6.4102	6.4849	35.443	41.218	93.758	733.07	0.0055421	0.00014732	0.13675	0.0090625	46.385	0.021559	17.550	19.234	86.476	32.794	54.304	221.26	1.8036	1.2716e-05	0.014954
250.03	17.869	1045.8	0.00095618	6.4286	6.5038	35.517	41.211	93.846	731.53	0.0057417	0.00014684	0.13651	0.0090201	46.695	0.021415	17.550	19.234	86.432	32.834	54.444	221.21	1.7999	1.2729e-05	0.014986
250.24	17.984	1044.9	0.00095701	6.4470	6.5227	35.591	41.205	93.934	729.99	0.0059417	0.00014637	0.13627	0.0089780	47.006	0.021274	17.550	19.234	86.388	32.873	54.585	221.16	1.7962	1.2741e-05	0.015018
250.44	18.098	1044.0	0.00095784	6.4652	6.5415	35.664	41.198	94.022	728.46	0.0061422	0.00014590	0.13603	0.0089360	47.317	0.021134	17.550	19.234	86.344	32.912	54.726	221.11	1.7926	1.2754e-05	0.015050
250.64	18.212	1043.1	0.00095866	6.4834	6.5602	35.737	41.192	94.111	726.93	0.0063433	0.00014543	0.13579	0.0088944	47.628	0.020996	17.551	19.233	86.301	32.951	54.868	221.06	1.7889	1.2767e-05	0.015082
250.83	18.327	1042.2	0.00095949	6.5015	6.5789	35.809	41.186	94.200	725.40	0.0065449	0.00014497	0.13556	0.0088529	47.939	0.020860	17.551	19.233	86.258	32.990	55.010	221.01	1.7853	1.2780e-05	0.015114
251.03	18.441	1041.3	0.00096031	6.5195	6.5975	35.881	41.180	94.290	723.89	0.0067469	0.00014451	0.13532	0.0088117	48.251	0.020725	17.551	19.233	86.215	33.029	55.152	220.97	1.7817	1.2793e-05	0.015147
251.23	18.555	1040.4	0.00096114	6.5375	6.6160	35.953	41.174	94.380	722.37	0.0069496	0.00014406	0.13509	0.0087707	48.564	0.020592	17.551	19.232	86.172	33.069	55.295	220.92	1.7782	1.2806e-05	0.015179
251.43	18.670	1039.5	0.00096196	6.5554	6.6345	36.025	41.168	94.470	720.86	0.0071527	0.00014360	0.13485	0.0087299	48.876	0.020460	17.551	19.232	86.129	33.108	55.438	220.87	1.7747	1.2818e-05	0.015211
251.62	18.784	1038.7	0.00096278	6.5732	6.6528	36.096	41.163	94.560	719.36	0.0073564	0.00014315	0.13462	0.0086893	49.189	0.020330	17.551	19.232	86.087	33.147	55.582	220.82	1.7712	1.2831e-05	0.015243
251.82	18.898	1037.8	0.00096360	6.5910	6.6712	36.167	41.157	94.651	717.86	0.0075606	0.00014271	0.13439	0.0086490	49.502	0.020201	17.551	19.231	86.045	33.185	55.726	220.77	1.7677	1.2844e-05	0.015275
252.01	19.013	1036.9	0.00096442	6.6087	6.6894	36.237	41.152	94.742	716.37	0.0077653	0.00014227	0.13416	0.0086089	49.816	0.020074	17.551	19.231	86.003	33.224	55.870	220.72	1.7642	1.2856e-05	0.015307
252.20	19.127	1036.0	0.00096524	6.6263	6.7076	36.307	41.146	94.834	714.88	0.0079706	0.00014183	0.13393	0.0085690	50.130	0.019948	17.551	19.230	85.961	33.263	56.015	220.66	1.7608	1.2869e-05	0.015340
252.39	19.241	1035.1	0.00096606	6.6439	6.7257	36.377	41.141	94.926	713.39	0.0081764	0.00014139	0.13371	0.0085293	50.445	0.019824	17.551	19.230	85.919	33.302	56.160	220.61	1.7574	1.2882e-05	0.015372
