Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
105.09	10.895	656.90	0.0015223	-1.7565	-1.7101	97.772	27.210	69.545	542.13	0.010743	64.704	0.090921	0.0030855	45.232	0.022108	1.7776	2.4523	137.38	24.879	48.147	182.49	1.6108	7.9493	0.012345
105.17	10.952	656.35	0.0015236	-1.7511	-1.7044	97.824	27.206	69.639	541.08	0.011043	64.543	0.090768	0.0030704	45.481	0.021987	1.7773	2.4519	137.34	24.896	48.269	182.47	1.6086	7.9589	0.012373
105.25	11.008	655.80	0.0015249	-1.7458	-1.6988	97.875	27.202	69.733	540.03	0.011344	64.384	0.090616	0.0030554	45.729	0.021868	1.7771	2.4515	137.31	24.912	48.392	182.45	1.6064	7.9686	0.012400
105.34	11.064	655.25	0.0015261	-1.7404	-1.6931	97.927	27.199	69.827	538.98	0.011646	64.225	0.090464	0.0030405	45.978	0.021750	1.7769	2.4510	137.27	24.929	48.515	182.42	1.6042	7.9782	0.012428
105.42	11.121	654.70	0.0015274	-1.7351	-1.6875	97.978	27.195	69.922	537.93	0.011948	64.068	0.090312	0.0030256	46.227	0.021632	1.7767	2.4506	137.23	24.946	48.639	182.40	1.6020	7.9878	0.012456
105.50	11.177	654.15	0.0015287	-1.7298	-1.6819	98.028	27.191	70.017	536.89	0.012251	63.911	0.090162	0.0030108	46.477	0.021516	1.7764	2.4501	137.20	24.962	48.764	182.38	1.5999	7.9975	0.012484
105.58	11.234	653.60	0.0015300	-1.7245	-1.6763	98.079	27.188	70.113	535.85	0.012556	63.755	0.090011	0.0029961	46.727	0.021401	1.7762	2.4496	137.16	24.979	48.889	182.36	1.5977	8.0071	0.012512
105.66	11.290	653.05	0.0015313	-1.7192	-1.6707	98.130	27.184	70.209	534.81	0.012861	63.600	0.089862	0.0029814	46.977	0.021287	1.7759	2.4492	137.12	24.996	49.014	182.34	1.5956	8.0167	0.012540
105.74	11.346	652.50	0.0015326	-1.7139	-1.6652	98.180	27.181	70.305	533.78	0.013167	63.446	0.089713	0.0029668	47.227	0.021174	1.7756	2.4487	137.09	25.013	49.140	182.32	1.5935	8.0263	0.012568
105.82	11.403	651.95	0.0015339	-1.7086	-1.6596	98.230	27.177	70.402	532.74	0.013474	63.292	0.089564	0.0029523	47.478	0.021062	1.7754	2.4482	137.05	25.029	49.267	182.29	1.5913	8.0359	0.012596
105.90	11.459	651.41	0.0015351	-1.7034	-1.6541	98.280	27.174	70.499	531.71	0.013783	63.139	0.089416	0.0029378	47.729	0.020952	1.7751	2.4476	137.01	25.046	49.394	182.27	1.5892	8.0454	0.012624
105.98	11.516	650.86	0.0015364	-1.6981	-1.6486	98.330	27.170	70.597	530.68	0.014092	62.988	0.089269	0.0029234	47.981	0.020842	1.7748	2.4471	136.98	25.063	49.522	182.25	1.5871	8.0550	0.012653
106.05	11.572	650.32	0.0015377	-1.6929	-1.6431	98.380	27.167	70.695	529.66	0.014402	62.837	0.089122	0.0029091	48.232	0.020733	1.7745	2.4466	136.94	25.079	49.650	182.23	1.5850	8.0646	0.012681
106.13	11.628	649.78	0.0015390	-1.6877	-1.6376	98.429	27.164	70.794	528.63	0.014713	62.686	0.088975	0.0028948	48.485	0.020625	1.7742	2.4461	136.91	25.096	49.779	182.20	1.5830	8.0741	0.012710
106.21	11.685	649.23	0.0015403	-1.6825	-1.6321	98.478	27.161	70.893	527.61	0.015025	62.537	0.088830	0.0028806	48.737	0.020518	1.7739	2.4455	136.87	25.113	49.909	182.18	1.5809	8.0837	0.012738
106.29	11.741	648.69	0.0015416	-1.6773	-1.6266	98.528	27.158	70.992	526.59	0.015338	62.388	0.088684	0.0028665	48.990	0.020412	1.7736	2.4450	136.83	25.129	50.039	182.16	1.5788	8.0932	0.012767
106.37	11.798	648.15	0.0015429	-1.6722	-1.6212	98.577	27.155	71.092	525.57	0.015651	62.240	0.088539	0.0028524	49.243	0.020307	1.7733	2.4444	136.80	25.146	50.170	182.13	1.5768	8.1027	0.012795
106.44	11.854	647.61	0.0015441	-1.6670	-1.6157	98.625	27.152	71.193	524.56	0.015966	62.093	0.088395	0.0028384	49.496	0.020203	1.7729	2.4438	136.76	25.163	50.301	182.11	1.5747	8.1123	0.012824
106.52	11.910	647.07	0.0015454	-1.6619	-1.6103	98.674	27.149	71.293	523.54	0.016282	61.947	0.088251	0.0028244	49.750	0.020100	1.7726	2.4432	136.73	25.179	50.433	182.08	1.5727	8.1218	0.012853
106.60	11.967	646.53	0.0015467	-1.6567	-1.6049	98.723	27.146	71.395	522.53	0.016599	61.801	0.088108	0.0028106	50.004	0.019998	1.7722	2.4426	136.69	25.196	50.566	182.06	1.5706	8.1313	0.012882
106.68	12.023	645.99	0.0015480	-1.6516	-1.5995	98.771	27.144	71.497	521.53	0.016917	61.656	0.087965	0.0027967	50.259	0.019897	1.7719	2.4420	136.66	25.213	50.699	182.04	1.5686	8.1408	0.012910
106.75	12.079	645.46	0.0015493	-1.6465	-1.5941	98.819	27.141	71.599	520.52	0.017236	61.512	0.087823	0.0027829	50.514	0.019797	1.7715	2.4414	136.62	25.229	50.833	182.01	1.5666	8.1503	0.012939
106.83	12.136	644.92	0.0015506	-1.6414	-1.5887	98.868	27.138	71.702	519.51	0.017556	61.368	0.087681	0.0027692	50.769	0.019697	1.7712	2.4408	136.59	25.246	50.968	181.99	1.5646	8.1598	0.012968
106.90	12.192	644.38	0.0015519	-1.6363	-1.5833	98.916	27.136	71.805	518.51	0.017877	61.225	0.087540	0.0027556	51.025	0.019598	1.7708	2.4402	136.55	25.263	51.103	181.96	1.5626	8.1693	0.012998
106.98	12.249	643.85	0.0015532	-1.6312	-1.5779	98.963	27.133	71.908	517.51	0.018199	61.083	0.087399	0.0027420	51.281	0.019501	1.7704	2.4395	136.52	25.279	51.239	181.94	1.5606	8.1788	0.013027
107.05	12.305	643.31	0.0015545	-1.6262	-1.5726	99.011	27.131	72.013	516.51	0.018522	60.942	0.087259	0.0027285	51.537	0.019404	1.7701	2.4389	136.48	25.296	51.375	181.91	1.5586	8.1883	0.013056
107.13	12.361	642.78	0.0015557	-1.6211	-1.5673	99.059	27.129	72.117	515.52	0.018846	60.801	0.087119	0.0027150	51.794	0.019307	1.7697	2.4382	136.45	25.313	51.512	181.89	1.5566	8.1977	0.013085
107.20	12.418	642.24	0.0015570	-1.6161	-1.5619	99.106	27.126	72.223	514.52	0.019171	60.661	0.086980	0.0027016	52.051	0.019212	1.7693	2.4376	136.41	25.330	51.650	181.86	1.5547	8.2072	0.013115
107.28	12.474	641.71	0.0015583	-1.6111	-1.5566	99.153	27.124	72.328	513.53	0.019498	60.521	0.086841	0.0026882	52.308	0.019118	1.7689	2.4369	136.38	25.346	51.788	181.84	1.5527	8.2167	0.013144
107.35	12.531	641.18	0.0015596	-1.6061	-1.5513	99.200	27.122	72.434	512.54	0.019825	60.383	0.086703	0.0026749	52.566	0.019024	1.7685	2.4362	136.34	25.363	51.928	181.81	1.5507	8.2262	0.013174
107.43	12.587	640.65	0.0015609	-1.6011	-1.5460	99.247	27.120	72.541	511.55	0.020153	60.244	0.086565	0.0026616	52.824	0.018931	1.7680	2.4355	136.31	25.380	52.068	181.79	1.5488	8.2356	0.013204
107.50	12.643	640.12	0.0015622	-1.5961	-1.5407	99.294	27.118	72.648	510.56	0.020483	60.107	0.086427	0.0026485	53.082	0.018839	1.7676	2.4349	136.28	25.396	52.208	181.76	1.5468	8.2451	0.013233
107.58	12.700	639.58	0.0015635	-1.5911	-1.5355	99.341	27.116	72.756	509.58	0.020813	59.970	0.086290	0.0026353	53.341	0.018747	1.7672	2.4341	136.24	25.413	52.349	181.74	1.5449	8.2545	0.013263
107.65	12.756	639.05	0.0015648	-1.5861	-1.5302	99.388	27.114	72.864	508.60	0.021145	59.834	0.086154	0.0026222	53.600	0.018657	1.7668	2.4334	136.21	25.430	52.491	181.71	1.5430	8.2640	0.013293
107.72	12.812	638.53	0.0015661	-1.5812	-1.5250	99.434	27.112	72.973	507.62	0.021478	59.698	0.086018	0.0026092	53.860	0.018567	1.7663	2.4327	136.17	25.447	52.634	181.68	1.5411	8.2734	0.013323
107.79	12.869	638.00	0.0015674	-1.5762	-1.5197	99.480	27.110	73.082	506.64	0.021812	59.563	0.085882	0.0025962	54.120	0.018477	1.7659	2.4320	136.14	25.463	52.778	181.66	1.5391	8.2829	0.013353
107.87	12.925	637.47	0.0015687	-1.5713	-1.5145	99.527	27.108	73.192	505.66	0.022146	59.429	0.085747	0.0025833	54.380	0.018389	1.7654	2.4312	136.11	25.480	52.922	181.63	1.5372	8.2923	0.013383
107.94	12.982	636.94	0.0015700	-1.5664	-1.5093	99.573	27.107	73.302	504.68	0.022483	59.295	0.085612	0.0025704	54.641	0.018301	1.7649	2.4305	136.07	25.497	53.067	181.61	1.5353	8.3018	0.013413
108.01	13.038	636.41	0.0015713	-1.5614	-1.5041	99.619	27.105	73.413	503.71	0.022820	59.162	0.085477	0.0025576	54.902	0.018214	1.7645	2.4297	136.04	25.514	53.212	181.58	1.5334	8.3112	0.013443
108.08	13.094	635.89	0.0015726	-1.5565	-1.4989	99.664	27.103	73.525	502.74	0.023158	59.029	0.085343	0.0025449	55.164	0.018128	1.7640	2.4290	136.00	25.531	53.359	181.55	1.5315	8.3206	0.013474
108.16	13.151	635.36	0.0015739	-1.5516	-1.4937	99.710	27.102	73.637	501.77	0.023498	58.897	0.085210	0.0025322	55.426	0.018042	1.7635	2.4282	135.97	25.547	53.506	181.52	1.5297	8.3301	0.013504
108.23	13.207	634.83	0.0015752	-1.5468	-1.4885	99.756	27.100	73.749	500.80	0.023838	58.766	0.085077	0.0025195	55.688	0.017957	1.7630	2.4274	135.94	25.564	53.654	181.50	1.5278	8.3395	0.013535
108.30	13.264	634.31	0.0015765	-1.5419	-1.4833	99.801	27.099	73.862	499.83	0.024180	58.635	0.084944	0.0025069	55.951	0.017873	1.7625	2.4266	135.90	25.581	53.803	181.47	1.5259	8.3489	0.013565
108.37	13.320	633.78	0.0015778	-1.5370	-1.4782	99.847	27.097	73.976	498.87	0.024523	58.505	0.084812	0.0024944	56.214	0.017789	1.7620	2.4258	135.87	25.598	53.953	181.44	1.5240	8.3584	0.013596
108.44	13.376	633.26	0.0015791	-1.5322	-1.4730	99.892	27.096	74.090	497.91	0.024867	58.375	0.084680	0.0024819	56.477	0.017706	1.7615	2.4250	135.84	25.615	54.103	181.42	1.5222	8.3678	0.013627
108.51	13.433	632.74	0.0015804	-1.5273	-1.4679	99.937	27.095	74.205	496.94	0.025213	58.246	0.084549	0.0024694	56.741	0.017624	1.7610	2.4242	135.80	25.632	54.254	181.39	1.5203	8.3772	0.013658
108.58	13.489	632.21	0.0015817	-1.5225	-1.4627	99.982	27.094	74.320	495.98	0.025559	58.117	0.084418	0.0024570	57.005	0.017542	1.7605	2.4234	135.77	25.649	54.406	181.36	1.5185	8.3866	0.013688
108.65	13.546	631.69	0.0015831	-1.5177	-1.4576	100.03	27.093	74.436	495.03	0.025907	57.989	0.084287	0.0024447	57.270	0.017461	1.7600	2.4226	135.74	25.666	54.559	181.33	1.5166	8.3961	0.013720
108.72	13.602	631.17	0.0015844	-1.5129	-1.4525	100.07	27.092	74.552	494.07	0.026256	57.862	0.084157	0.0024324	57.535	0.017381	1.7595	2.4217	135.71	25.683	54.713	181.31	1.5148	8.4055	0.013751
108.79	13.658	630.65	0.0015857	-1.5081	-1.4474	100.12	27.090	74.670	493.12	0.026606	57.735	0.084027	0.0024201	57.801	0.017301	1.7589	2.4209	135.67	25.700	54.867	181.28	1.5130	8.4149	0.013782
108.86	13.715	630.12	0.0015870	-1.5033	-1.4423	100.16	27.090	74.787	492.16	0.026957	57.608	0.083897	0.0024079	58.067	0.017222	1.7584	2.4200	135.64	25.717	55.023	181.25	1.5111	8.4243	0.013813
108.93	13.771	629.60	0.0015883	-1.4985	-1.4372	100.21	27.089	74.905	491.21	0.027310	57.482	0.083768	0.0023957	58.333	0.017143	1.7578	2.4192	135.61	25.734	55.179	181.22	1.5093	8.4338	0.013844
109.00	13.827	629.08	0.0015896	-1.4937	-1.4321	100.25	27.088	75.024	490.26	0.027664	57.357	0.083640	0.0023836	58.600	0.017065	1.7573	2.4183	135.57	25.751	55.336	181.19	1.5075	8.4432	0.013876
109.07	13.884	628.56	0.0015909	-1.4889	-1.4271	100.29	27.087	75.144	489.31	0.028019	57.232	0.083511	0.0023716	58.867	0.016987	1.7567	2.4174	135.54	25.768	55.494	181.16	1.5057	8.4526	0.013907
109.14	13.940	628.04	0.0015922	-1.4842	-1.4220	100.34	27.086	75.264	488.37	0.028375	57.107	0.083384	0.0023596	59.135	0.016911	1.7561	2.4165	135.51	25.785	55.653	181.14	1.5039	8.4620	0.013939
109.21	13.997	627.52	0.0015936	-1.4794	-1.4169	100.38	27.086	75.385	487.42	0.028732	56.984	0.083256	0.0023476	59.403	0.016834	1.7556	2.4156	135.48	25.802	55.813	181.11	1.5021	8.4715	0.013971
109.28	14.053	627.00	0.0015949	-1.4747	-1.4119	100.43	27.085	75.506	486.48	0.029091	56.860	0.083129	0.0023357	59.671	0.016759	1.7550	2.4147	135.44	25.819	55.973	181.08	1.5003	8.4809	0.014003
109.35	14.109	626.48	0.0015962	-1.4699	-1.4069	100.47	27.084	75.628	485.53	0.029451	56.737	0.083002	0.0023238	59.940	0.016683	1.7544	2.4138	135.41	25.837	56.135	181.05	1.4985	8.4903	0.014035
109.41	14.166	625.97	0.0015975	-1.4652	-1.4018	100.51	27.084	75.751	484.59	0.029813	56.615	0.082876	0.0023120	60.209	0.016609	1.7538	2.4129	135.38	25.854	56.298	181.02	1.4967	8.4998	0.014067
109.48	14.222	625.45	0.0015989	-1.4605	-1.3968	100.56	27.083	75.874	483.65	0.030175	56.493	0.082750	0.0023002	60.479	0.016535	1.7532	2.4120	135.35	25.871	56.461	180.99	1.4949	8.5092	0.014099
109.55	14.279	624.93	0.0016002	-1.4558	-1.3918	100.60	27.083	75.998	482.72	0.030539	56.371	0.082624	0.0022885	60.749	0.016461	1.7526	2.4110	135.31	25.889	56.626	180.96	1.4931	8.5186	0.014131
109.62	14.335	624.41	0.0016015	-1.4511	-1.3868	100.64	27.083	76.122	481.78	0.030904	56.250	0.082499	0.0022768	61.020	0.016388	1.7520	2.4101	135.28	25.906	56.791	180.93	1.4913	8.5281	0.014163
109.68	14.391	623.90	0.0016028	-1.4464	-1.3818	100.69	27.082	76.247	480.84	0.031271	56.130	0.082374	0.0022652	61.291	0.016316	1.7514	2.4091	135.25	25.923	56.958	180.90	1.4895	8.5375	0.014196
109.75	14.448	623.38	0.0016042	-1.4417	-1.3768	100.73	27.082	76.373	479.91	0.031639	56.010	0.082249	0.0022536	61.562	0.016244	1.7508	2.4082	135.22	25.941	57.125	180.87	1.4878	8.5470	0.014228
109.82	14.504	622.86	0.0016055	-1.4371	-1.3718	100.77	27.082	76.500	478.98	0.032008	55.890	0.082125	0.0022420	61.834	0.016172	1.7501	2.4072	135.18	25.958	57.293	180.84	1.4860	8.5564	0.014261
109.88	14.561	622.35	0.0016068	-1.4324	-1.3668	100.82	27.082	76.627	478.05	0.032378	55.771	0.082001	0.0022305	62.106	0.016101	1.7495	2.4063	135.15	25.976	57.463	180.81	1.4842	8.5658	0.014293
109.95	14.617	621.83	0.0016082	-1.4277	-1.3619	100.86	27.082	76.755	477.12	0.032750	55.652	0.081878	0.0022191	62.379	0.016031	1.7488	2.4053	135.12	25.993	57.633	180.78	1.4825	8.5753	0.014326
110.02	14.673	621.31	0.0016095	-1.4231	-1.3569	100.90	27.082	76.883	476.19	0.033124	55.534	0.081754	0.0022077	62.653	0.015961	1.7482	2.4043	135.09	26.011	57.805	180.75	1.4807	8.5848	0.014359
110.08	14.730	620.80	0.0016108	-1.4184	-1.3520	100.94	27.082	77.013	475.26	0.033498	55.416	0.081632	0.0021963	62.926	0.015892	1.7475	2.4033	135.06	26.029	57.977	180.72	1.4790	8.5942	0.014392
110.15	14.786	620.28	0.0016122	-1.4138	-1.3470	100.99	27.082	77.143	474.34	0.033874	55.299	0.081509	0.0021849	63.200	0.015823	1.7469	2.4023	135.02	26.046	58.150	180.69	1.4772	8.6037	0.014425
110.22	14.842	619.77	0.0016135	-1.4092	-1.3421	101.03	27.082	77.273	473.42	0.034251	55.182	0.081387	0.0021737	63.475	0.015754	1.7462	2.4013	134.99	26.064	58.325	180.66	1.4755	8.6131	0.014458
110.28	14.899	619.26	0.0016148	-1.4046	-1.3372	101.07	27.082	77.405	472.49	0.034630	55.065	0.081265	0.0021624	63.750	0.015686	1.7455	2.4002	134.96	26.082	58.501	180.63	1.4737	8.6226	0.014492
110.35	14.955	618.74	0.0016162	-1.4000	-1.3322	101.11	27.083	77.537	471.57	0.035010	54.949	0.081144	0.0021512	64.026	0.015619	1.7449	2.3992	134.93	26.100	58.677	180.60	1.4720	8.6321	0.014525
110.41	15.012	618.23	0.0016175	-1.3953	-1.3273	101.16	27.083	77.669	470.65	0.035392	54.833	0.081023	0.0021401	64.302	0.015552	1.7442	2.3982	134.90	26.118	58.855	180.57	1.4703	8.6415	0.014558
110.48	15.068	617.71	0.0016189	-1.3908	-1.3224	101.20	27.083	77.803	469.73	0.035775	54.718	0.080902	0.0021289	64.578	0.015485	1.7435	2.3971	134.87	26.136	59.034	180.54	1.4685	8.6510	0.014592
110.54	15.124	617.20	0.0016202	-1.3862	-1.3175	101.24	27.084	77.937	468.82	0.036159	54.603	0.080781	0.0021179	64.855	0.015419	1.7428	2.3961	134.83	26.154	59.214	180.51	1.4668	8.6605	0.014626
110.61	15.181	616.69	0.0016216	-1.3816	-1.3126	101.28	27.084	78.072	467.90	0.036545	54.489	0.080661	0.0021068	65.133	0.015353	1.7421	2.3950	134.80	26.172	59.395	180.47	1.4651	8.6700	0.014660
110.67	15.237	616.17	0.0016229	-1.3770	-1.3077	101.32	27.085	78.208	466.99	0.036932	54.375	0.080541	0.0020958	65.411	0.015288	1.7414	2.3940	134.77	26.190	59.577	180.44	1.4634	8.6795	0.014694
110.74	15.294	615.66	0.0016243	-1.3724	-1.3029	101.37	27.086	78.344	466.07	0.037321	54.261	0.080422	0.0020849	65.689	0.015223	1.7407	2.3929	134.74	26.208	59.761	180.41	1.4616	8.6890	0.014728
110.80	15.350	615.15	0.0016256	-1.3679	-1.2980	101.41	27.086	78.482	465.16	0.037711	54.148	0.080303	0.0020740	65.968	0.015159	1.7400	2.3918	134.71	26.226	59.945	180.38	1.4599	8.6985	0.014762
110.86	15.406	614.64	0.0016270	-1.3633	-1.2931	101.45	27.087	78.620	464.25	0.038102	54.035	0.080184	0.0020631	66.247	0.015095	1.7392	2.3907	134.68	26.245	60.131	180.35	1.4582	8.7080	0.014796
110.93	15.463	614.12	0.0016283	-1.3588	-1.2882	101.49	27.088	78.758	463.34	0.038495	53.922	0.080065	0.0020523	66.527	0.015031	1.7385	2.3896	134.65	26.263	60.318	180.32	1.4565	8.7175	0.014830
110.99	15.519	613.61	0.0016297	-1.3542	-1.2834	101.53	27.089	78.898	462.43	0.038890	53.810	0.079947	0.0020415	66.808	0.014968	1.7378	2.3885	134.61	26.281	60.506	180.28	1.4548	8.7270	0.014865
111.06	15.576	613.10	0.0016311	-1.3497	-1.2785	101.57	27.090	79.038	461.52	0.039286	53.698	0.079829	0.0020307	67.088	0.014906	1.7370	2.3874	134.58	26.300	60.696	180.25	1.4531	8.7366	0.014899
111.12	15.632	612.59	0.0016324	-1.3452	-1.2737	101.61	27.091	79.179	460.62	0.039684	53.587	0.079711	0.0020200	67.370	0.014843	1.7363	2.3863	134.55	26.318	60.886	180.22	1.4514	8.7461	0.014934
111.18	15.688	612.08	0.0016338	-1.3407	-1.2689	101.66	27.092	79.321	459.71	0.040083	53.476	0.079594	0.0020094	67.652	0.014782	1.7355	2.3851	134.52	26.337	61.078	180.19	1.4497	8.7556	0.014969
111.25	15.745	611.57	0.0016351	-1.3362	-1.2640	101.70	27.093	79.464	458.81	0.040483	53.366	0.079477	0.0019987	67.934	0.014720	1.7347	2.3840	134.49	26.356	61.271	180.15	1.4480	8.7652	0.015004
111.31	15.801	611.05	0.0016365	-1.3317	-1.2592	101.74	27.094	79.608	457.90	0.040885	53.255	0.079360	0.0019881	68.217	0.014659	1.7340	2.3829	134.46	26.374	61.465	180.12	1.4463	8.7747	0.015039
111.37	15.857	610.54	0.0016379	-1.3272	-1.2544	101.78	27.095	79.752	457.00	0.041289	53.145	0.079244	0.0019776	68.500	0.014599	1.7332	2.3817	134.43	26.393	61.661	180.09	1.4446	8.7843	0.015074
111.43	15.914	610.03	0.0016393	-1.3227	-1.2496	101.82	27.096	79.897	456.10	0.041694	53.036	0.079128	0.0019671	68.784	0.014538	1.7324	2.3805	134.40	26.412	61.858	180.05	1.4429	8.7939	0.015110
111.50	15.970	609.52	0.0016406	-1.3182	-1.2448	101.86	27.098	80.043	455.20	0.042101	52.927	0.079012	0.0019566	69.068	0.014478	1.7316	2.3794	134.37	26.431	62.056	180.02	1.4412	8.8034	0.015145
111.56	16.027	609.01	0.0016420	-1.3137	-1.2400	101.90	27.099	80.190	454.30	0.042509	52.818	0.078897	0.0019461	69.353	0.014419	1.7308	2.3782	134.33	26.450	62.255	179.99	1.4395	8.8130	0.015180
111.62	16.083	608.50	0.0016434	-1.3092	-1.2352	101.94	27.100	80.338	453.41	0.042919	52.710	0.078781	0.0019357	69.639	0.014360	1.7301	2.3770	134.30	26.469	62.456	179.95	1.4378	8.8226	0.015216
111.68	16.139	607.99	0.0016448	-1.3048	-1.2304	101.98	27.102	80.487	452.51	0.043331	52.601	0.078666	0.0019254	69.925	0.014301	1.7292	2.3758	134.27	26.488	62.658	179.92	1.4361	8.8322	0.015252
111.75	16.196	607.48	0.0016461	-1.3003	-1.2256	102.02	27.103	80.636	451.62	0.043744	52.494	0.078552	0.0019151	70.211	0.014243	1.7284	2.3746	134.24	26.507	62.861	179.89	1.4344	8.8418	0.015288
111.81	16.252	606.97	0.0016475	-1.2958	-1.2208	102.06	27.105	80.787	450.72	0.044159	52.386	0.078437	0.0019048	70.498	0.014185	1.7276	2.3734	134.21	26.526	63.066	179.85	1.4328	8.8514	0.015324
111.87	16.309	606.46	0.0016489	-1.2914	-1.2161	102.10	27.107	80.938	449.83	0.044575	52.279	0.078323	0.0018945	70.786	0.014127	1.7268	2.3722	134.18	26.546	63.273	179.82	1.4311	8.8610	0.015360
111.93	16.365	605.95	0.0016503	-1.2869	-1.2113	102.14	27.108	81.090	448.94	0.044993	52.172	0.078210	0.0018843	71.074	0.014070	1.7260	2.3710	134.15	26.565	63.480	179.79	1.4294	8.8707	0.015396
111.99	16.421	605.44	0.0016517	-1.2825	-1.2065	102.18	27.110	81.243	448.05	0.045413	52.066	0.078096	0.0018741	71.362	0.014013	1.7251	2.3698	134.12	26.585	63.689	179.75	1.4277	8.8803	0.015433
112.05	16.478	604.93	0.0016531	-1.2781	-1.2018	102.22	27.112	81.397	447.16	0.045834	51.960	0.077983	0.0018640	71.652	0.013956	1.7243	2.3685	134.09	26.604	63.900	179.72	1.4261	8.8899	0.015469
112.11	16.534	604.42	0.0016545	-1.2736	-1.1970	102.26	27.114	81.552	446.27	0.046258	51.854	0.077870	0.0018539	71.941	0.013900	1.7235	2.3673	134.06	26.624	64.111	179.68	1.4244	8.8996	0.015506
112.17	16.590	603.91	0.0016559	-1.2692	-1.1923	102.30	27.116	81.708	445.38	0.046682	51.749	0.077757	0.0018438	72.232	0.013844	1.7226	2.3660	134.03	26.644	64.325	179.65	1.4227	8.9093	0.015543
112.23	16.647	603.40	0.0016573	-1.2648	-1.1875	102.34	27.118	81.865	444.49	0.047109	51.644	0.077645	0.0018338	72.522	0.013789	1.7217	2.3648	134.00	26.663	64.540	179.61	1.4210	8.9189	0.015580
112.29	16.703	602.89	0.0016587	-1.2604	-1.1828	102.38	27.120	82.022	443.61	0.047537	51.539	0.077533	0.0018238	72.814	0.013734	1.7209	2.3635	133.96	26.683	64.756	179.58	1.4194	8.9286	0.015617
112.36	16.760	602.38	0.0016601	-1.2560	-1.1781	102.42	27.122	82.181	442.72	0.047967	51.434	0.077421	0.0018138	73.106	0.013679	1.7200	2.3622	133.93	26.703	64.974	179.54	1.4177	8.9383	0.015654
112.42	16.816	601.87	0.0016615	-1.2516	-1.1733	102.46	27.124	82.341	441.84	0.048398	51.330	0.077309	0.0018039	73.398	0.013624	1.7191	2.3609	133.90	26.723	65.193	179.51	1.4160	8.9480	0.015691
112.48	16.872	601.36	0.0016629	-1.2472	-1.1686	102.50	27.127	82.501	440.96	0.048831	51.226	0.077198	0.0017940	73.691	0.013570	1.7182	2.3596	133.87	26.743	65.414	179.47	1.4144	8.9577	0.015729
112.54	16.929	600.85	0.0016643	-1.2428	-1.1639	102.54	27.129	82.663	440.08	0.049266	51.123	0.077087	0.0017841	73.985	0.013516	1.7174	2.3584	133.84	26.763	65.636	179.44	1.4127	8.9674	0.015766
112.59	16.985	600.34	0.0016657	-1.2384	-1.1592	102.58	27.131	82.826	439.19	0.049703	51.020	0.076976	0.0017743	74.279	0.013463	1.7165	2.3570	133.81	26.784	65.860	179.40	1.4110	8.9772	0.015804
112.65	17.042	599.83	0.0016671	-1.2341	-1.1545	102.62	27.134	82.989	438.31	0.050142	50.917	0.076866	0.0017645	74.574	0.013410	1.7156	2.3557	133.78	26.804	66.085	179.36	1.4094	8.9869	0.015842
112.71	17.098	599.32	0.0016686	-1.2297	-1.1498	102.66	27.136	83.154	437.44	0.050582	50.814	0.076755	0.0017548	74.869	0.013357	1.7147	2.3544	133.75	26.824	66.313	179.33	1.4077	8.9967	0.015880
112.77	17.154	598.81	0.0016700	-1.2253	-1.1451	102.70	27.139	83.319	436.56	0.051024	50.712	0.076645	0.0017451	75.165	0.013304	1.7137	2.3531	133.72	26.845	66.541	179.29	1.4060	9.0064	0.015918
112.83	17.211	598.30	0.0016714	-1.2210	-1.1404	102.74	27.141	83.486	435.68	0.051468	50.610	0.076536	0.0017354	75.461	0.013252	1.7128	2.3517	133.69	26.865	66.772	179.26	1.4044	9.0162	0.015956
112.89	17.267	597.79	0.0016728	-1.2166	-1.1357	102.78	27.144	83.654	434.80	0.051914	50.508	0.076426	0.0017257	75.758	0.013200	1.7119	2.3504	133.66	26.886	67.004	179.22	1.4027	9.0260	0.015995
112.95	17.324	597.28	0.0016742	-1.2122	-1.1310	102.82	27.147	83.823	433.93	0.052362	50.406	0.076317	0.0017161	76.056	0.013148	1.7110	2.3490	133.63	26.907	67.237	179.18	1.4010	9.0358	0.016033
113.01	17.380	596.77	0.0016757	-1.2079	-1.1263	102.86	27.150	83.993	433.05	0.052811	50.305	0.076208	0.0017065	76.354	0.013097	1.7100	2.3477	133.60	26.928	67.472	179.15	1.3994	9.0456	0.016072
113.07	17.436	596.26	0.0016771	-1.2036	-1.1216	102.90	27.152	84.164	432.18	0.053263	50.204	0.076099	0.0016970	76.653	0.013046	1.7091	2.3463	133.57	26.949	67.709	179.11	1.3977	9.0554	0.016111
