Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
97.341	6.4407	705.04	0.0014184	-2.2474	-2.2218	92.897	27.772	63.220	636.62	-0.010572	81.640	0.10558	0.0045748	26.455	0.037800	1.7662	2.4482	140.87	23.538	39.826	183.23	1.8315	7.1273	0.010298
97.460	6.4970	704.35	0.0014198	-2.2401	-2.2142	92.973	27.761	63.289	635.23	-0.010326	81.346	0.10535	0.0045510	26.685	0.037475	1.7668	2.4488	140.82	23.555	39.918	183.24	1.8279	7.1389	0.010323
97.579	6.5534	703.66	0.0014211	-2.2328	-2.2067	93.048	27.750	63.359	633.84	-0.010079	81.056	0.10512	0.0045274	26.914	0.037155	1.7674	2.4495	140.77	23.572	40.010	183.24	1.8243	7.1504	0.010348
97.697	6.6098	702.98	0.0014225	-2.2255	-2.1992	93.123	27.739	63.429	632.47	-0.0098320	80.768	0.10490	0.0045039	27.144	0.036841	1.7679	2.4501	140.71	23.590	40.103	183.25	1.8207	7.1619	0.010373
97.814	6.6662	702.30	0.0014239	-2.2183	-2.1917	93.197	27.728	63.499	631.10	-0.0095843	80.484	0.10467	0.0044806	27.373	0.036532	1.7685	2.4507	140.66	23.607	40.196	183.26	1.8171	7.1734	0.010397
97.930	6.7226	701.62	0.0014253	-2.2111	-2.1843	93.271	27.718	63.569	629.74	-0.0093361	80.202	0.10445	0.0044574	27.603	0.036228	1.7690	2.4512	140.61	23.624	40.289	183.26	1.8136	7.1848	0.010422
98.046	6.7790	700.95	0.0014266	-2.2040	-2.1769	93.344	27.707	63.640	628.38	-0.0090874	79.923	0.10423	0.0044344	27.833	0.035928	1.7695	2.4518	140.55	23.641	40.382	183.26	1.8101	7.1961	0.010447
98.161	6.8354	700.28	0.0014280	-2.1968	-2.1695	93.417	27.697	63.710	627.03	-0.0088383	79.647	0.10401	0.0044116	28.064	0.035633	1.7700	2.4523	140.50	23.659	40.476	183.27	1.8066	7.2074	0.010472
98.276	6.8918	699.61	0.0014294	-2.1898	-2.1622	93.489	27.687	63.781	625.69	-0.0085886	79.373	0.10379	0.0043890	28.294	0.035343	1.7705	2.4528	140.45	23.676	40.570	183.27	1.8031	7.2187	0.010497
98.389	6.9481	698.94	0.0014307	-2.1827	-2.1549	93.561	27.677	63.852	624.35	-0.0083385	79.103	0.10357	0.0043665	28.525	0.035057	1.7710	2.4533	140.40	23.693	40.664	183.27	1.7997	7.2300	0.010522
98.502	7.0045	698.28	0.0014321	-2.1757	-2.1476	93.632	27.667	63.924	623.02	-0.0080878	78.834	0.10335	0.0043441	28.756	0.034776	1.7714	2.4538	140.35	23.710	40.759	183.27	1.7963	7.2411	0.010547
98.615	7.0609	697.61	0.0014335	-2.1688	-2.1404	93.703	27.657	63.996	621.70	-0.0078367	78.569	0.10314	0.0043219	28.987	0.034499	1.7719	2.4543	140.30	23.727	40.854	183.28	1.7930	7.2523	0.010572
98.727	7.1173	696.96	0.0014348	-2.1618	-2.1332	93.774	27.648	64.067	620.38	-0.0075850	78.306	0.10293	0.0042999	29.218	0.034226	1.7723	2.4547	140.24	23.744	40.949	183.28	1.7896	7.2634	0.010597
98.838	7.1737	696.30	0.0014362	-2.1549	-2.1261	93.844	27.638	64.140	619.06	-0.0073329	78.045	0.10271	0.0042780	29.449	0.033957	1.7727	2.4551	140.19	23.762	41.044	183.28	1.7863	7.2745	0.010622
98.948	7.2301	695.64	0.0014375	-2.1481	-2.1190	93.913	27.629	64.212	617.76	-0.0070801	77.787	0.10250	0.0042562	29.681	0.033692	1.7731	2.4555	140.14	23.779	41.140	183.28	1.7831	7.2856	0.010647
99.058	7.2865	694.99	0.0014389	-2.1412	-2.1119	93.983	27.619	64.285	616.45	-0.0068269	77.531	0.10229	0.0042346	29.913	0.033431	1.7735	2.4559	140.09	23.796	41.236	183.28	1.7798	7.2966	0.010672
99.168	7.3429	694.34	0.0014402	-2.1344	-2.1048	94.052	27.610	64.357	615.16	-0.0065731	77.277	0.10209	0.0042132	30.145	0.033173	1.7739	2.4563	140.05	23.813	41.332	183.27	1.7766	7.3075	0.010697
99.276	7.3993	693.70	0.0014416	-2.1277	-2.0978	94.120	27.601	64.431	613.87	-0.0063188	77.026	0.10188	0.0041918	30.377	0.032920	1.7743	2.4566	140.00	23.830	41.429	183.27	1.7734	7.3185	0.010722
99.384	7.4556	693.05	0.0014429	-2.1209	-2.0908	94.188	27.592	64.504	612.58	-0.0060639	76.777	0.10167	0.0041707	30.609	0.032670	1.7746	2.4570	139.95	23.847	41.526	183.27	1.7702	7.3294	0.010747
99.492	7.5120	692.41	0.0014442	-2.1142	-2.0838	94.256	27.583	64.578	611.30	-0.0058085	76.530	0.10147	0.0041496	30.842	0.032424	1.7750	2.4573	139.90	23.864	41.623	183.27	1.7671	7.3403	0.010772
99.599	7.5684	691.77	0.0014456	-2.1076	-2.0769	94.323	27.574	64.651	610.03	-0.0055525	76.286	0.10127	0.0041287	31.075	0.032181	1.7753	2.4576	139.85	23.881	41.721	183.27	1.7639	7.3511	0.010798
99.705	7.6248	691.13	0.0014469	-2.1009	-2.0700	94.390	27.565	64.726	608.76	-0.0052960	76.043	0.10106	0.0041079	31.307	0.031941	1.7757	2.4579	139.80	23.898	41.818	183.26	1.7608	7.3619	0.010823
99.811	7.6812	690.49	0.0014482	-2.0943	-2.0631	94.457	27.557	64.800	607.49	-0.0050389	75.803	0.10086	0.0040873	31.541	0.031705	1.7760	2.4582	139.76	23.915	41.917	183.26	1.7578	7.3727	0.010848
99.916	7.7376	689.86	0.0014496	-2.0877	-2.0563	94.523	27.548	64.875	606.23	-0.0047812	75.565	0.10066	0.0040668	31.774	0.031472	1.7763	2.4584	139.71	23.933	42.015	183.25	1.7547	7.3834	0.010873
100.02	7.7940	689.23	0.0014509	-2.0812	-2.0495	94.589	27.540	64.950	604.98	-0.0045229	75.329	0.10046	0.0040464	32.008	0.031243	1.7766	2.4587	139.66	23.950	42.114	183.25	1.7517	7.3941	0.010898
100.12	7.8504	688.60	0.0014522	-2.0746	-2.0427	94.654	27.532	65.025	603.73	-0.0042640	75.094	0.10027	0.0040261	32.241	0.031016	1.7768	2.4589	139.61	23.967	42.213	183.24	1.7486	7.4048	0.010924
100.23	7.9067	687.97	0.0014536	-2.0681	-2.0360	94.719	27.523	65.100	602.49	-0.0040045	74.862	0.10007	0.0040060	32.475	0.030792	1.7771	2.4591	139.57	23.984	42.313	183.24	1.7457	7.4155	0.010949
100.33	7.9631	687.34	0.0014549	-2.0617	-2.0292	94.784	27.515	65.176	601.25	-0.0037445	74.632	0.099875	0.0039860	32.710	0.030572	1.7773	2.4593	139.52	24.001	42.413	183.23	1.7427	7.4261	0.010974
100.43	8.0195	686.72	0.0014562	-2.0552	-2.0225	94.849	27.507	65.252	600.01	-0.0034838	74.403	0.099681	0.0039661	32.944	0.030354	1.7776	2.4595	139.48	24.018	42.513	183.23	1.7397	7.4367	0.011000
100.54	8.0759	686.10	0.0014575	-2.0488	-2.0158	94.913	27.499	65.328	598.78	-0.0032225	74.177	0.099487	0.0039463	33.179	0.030140	1.7778	2.4597	139.43	24.035	42.613	183.22	1.7368	7.4473	0.011025
100.64	8.1323	685.48	0.0014588	-2.0424	-2.0092	94.977	27.492	65.405	597.56	-0.0029606	73.952	0.099295	0.0039267	33.414	0.029928	1.7780	2.4598	139.38	24.052	42.714	183.21	1.7339	7.4578	0.011050
100.74	8.1887	684.86	0.0014602	-2.0361	-2.0026	95.040	27.484	65.482	596.34	-0.0026981	73.729	0.099104	0.0039071	33.649	0.029719	1.7783	2.4600	139.34	24.069	42.816	183.20	1.7310	7.4683	0.011076
100.84	8.2451	684.24	0.0014615	-2.0297	-1.9960	95.103	27.476	65.559	595.12	-0.0024349	73.508	0.098914	0.0038877	33.884	0.029512	1.7785	2.4601	139.29	24.086	42.917	183.20	1.7281	7.4788	0.011101
100.94	8.3015	683.63	0.0014628	-2.0234	-1.9894	95.166	27.469	65.636	593.91	-0.0021711	73.288	0.098724	0.0038684	34.120	0.029308	1.7787	2.4602	139.25	24.103	43.019	183.19	1.7253	7.4893	0.011127
101.04	8.3578	683.01	0.0014641	-2.0171	-1.9829	95.228	27.461	65.714	592.70	-0.0019067	73.070	0.098536	0.0038492	34.356	0.029107	1.7788	2.4603	139.20	24.120	43.121	183.18	1.7225	7.4997	0.011152
101.14	8.4142	682.40	0.0014654	-2.0109	-1.9763	95.291	27.454	65.792	591.50	-0.0016416	72.854	0.098349	0.0038301	34.592	0.028909	1.7790	2.4604	139.16	24.137	43.224	183.17	1.7196	7.5101	0.011178
101.24	8.4706	681.79	0.0014667	-2.0047	-1.9699	95.353	27.447	65.870	590.30	-0.0013759	72.640	0.098162	0.0038112	34.828	0.028713	1.7792	2.4605	139.11	24.154	43.327	183.16	1.7168	7.5205	0.011203
101.33	8.5270	681.18	0.0014680	-1.9984	-1.9634	95.414	27.440	65.949	589.10	-0.0011095	72.427	0.097977	0.0037923	35.064	0.028519	1.7793	2.4606	139.07	24.171	43.430	183.15	1.7141	7.5309	0.011229
101.43	8.5834	680.58	0.0014693	-1.9923	-1.9569	95.476	27.433	66.028	587.91	-0.00084244	72.216	0.097793	0.0037736	35.301	0.028328	1.7795	2.4606	139.03	24.188	43.534	183.14	1.7113	7.5412	0.011255
101.53	8.6398	679.97	0.0014706	-1.9861	-1.9505	95.537	27.426	66.107	586.72	-0.00057472	72.007	0.097609	0.0037549	35.538	0.028139	1.7796	2.4606	138.98	24.205	43.638	183.13	1.7086	7.5516	0.011280
101.63	8.6962	679.37	0.0014720	-1.9800	-1.9441	95.597	27.419	66.186	585.54	-0.00030634	71.799	0.097426	0.0037364	35.775	0.027952	1.7797	2.4607	138.94	24.222	43.743	183.12	1.7058	7.5619	0.011306
101.72	8.7526	678.77	0.0014733	-1.9739	-1.9377	95.658	27.412	66.266	584.36	-3.7277e-05	71.593	0.097245	0.0037180	36.013	0.027768	1.7798	2.4607	138.90	24.239	43.848	183.11	1.7031	7.5721	0.011332
101.82	8.8090	678.17	0.0014746	-1.9678	-1.9314	95.718	27.405	66.346	583.19	0.00023247	71.388	0.097064	0.0036997	36.250	0.027586	1.7799	2.4607	138.85	24.255	43.953	183.10	1.7004	7.5824	0.011358
101.91	8.8653	677.57	0.0014759	-1.9617	-1.9250	95.778	27.398	66.427	582.02	0.00050290	71.184	0.096884	0.0036814	36.488	0.027406	1.7800	2.4606	138.81	24.272	44.059	183.09	1.6978	7.5926	0.011384
102.01	8.9217	676.97	0.0014772	-1.9557	-1.9187	95.837	27.392	66.507	580.85	0.00077403	70.982	0.096705	0.0036633	36.727	0.027228	1.7801	2.4606	138.77	24.289	44.165	183.08	1.6951	7.6028	0.011410
102.10	8.9781	676.38	0.0014785	-1.9496	-1.9125	95.897	27.385	66.588	579.69	0.0010459	70.782	0.096527	0.0036453	36.965	0.027053	1.7802	2.4606	138.73	24.306	44.271	183.06	1.6925	7.6130	0.011435
102.20	9.0345	675.78	0.0014798	-1.9436	-1.9062	95.956	27.379	66.670	578.53	0.0013184	70.583	0.096350	0.0036274	37.204	0.026879	1.7802	2.4605	138.68	24.323	44.378	183.05	1.6898	7.6232	0.011461
102.29	9.0909	675.19	0.0014811	-1.9377	-1.8999	96.014	27.373	66.751	577.37	0.0015916	70.385	0.096173	0.0036096	37.443	0.026708	1.7803	2.4604	138.64	24.340	44.485	183.04	1.6872	7.6333	0.011487
102.38	9.1473	674.60	0.0014824	-1.9317	-1.8937	96.073	27.366	66.833	576.22	0.0018656	70.189	0.095997	0.0035918	37.682	0.026538	1.7803	2.4604	138.60	24.357	44.593	183.02	1.6846	7.6434	0.011514
102.48	9.2037	674.01	0.0014837	-1.9258	-1.8875	96.131	27.360	66.916	575.07	0.0021403	69.994	0.095823	0.0035742	37.921	0.026370	1.7804	2.4603	138.56	24.374	44.701	183.01	1.6820	7.6535	0.011540
102.57	9.2601	673.42	0.0014850	-1.9199	-1.8813	96.189	27.354	66.998	573.93	0.0024157	69.801	0.095649	0.0035567	38.161	0.026205	1.7804	2.4602	138.52	24.391	44.809	183.00	1.6795	7.6636	0.011566
102.66	9.3164	672.84	0.0014862	-1.9140	-1.8752	96.247	27.348	67.081	572.79	0.0026918	69.609	0.095475	0.0035392	38.401	0.026041	1.7804	2.4600	138.48	24.408	44.918	182.98	1.6769	7.6737	0.011592
102.75	9.3728	672.25	0.0014875	-1.9081	-1.8690	96.305	27.342	67.164	571.65	0.0029687	69.418	0.095303	0.0035219	38.641	0.025879	1.7804	2.4599	138.43	24.425	45.027	182.97	1.6744	7.6837	0.011618
102.84	9.4292	671.67	0.0014888	-1.9022	-1.8629	96.362	27.336	67.248	570.52	0.0032463	69.229	0.095131	0.0035046	38.882	0.025719	1.7804	2.4598	138.39	24.442	45.137	182.95	1.6719	7.6938	0.011644
102.94	9.4856	671.08	0.0014901	-1.8964	-1.8568	96.419	27.331	67.332	569.38	0.0035247	69.040	0.094961	0.0034875	39.122	0.025561	1.7804	2.4596	138.35	24.459	45.247	182.94	1.6694	7.7038	0.011671
103.03	9.5420	670.50	0.0014914	-1.8906	-1.8507	96.476	27.325	67.416	568.26	0.0038038	68.853	0.094791	0.0034704	39.363	0.025404	1.7804	2.4595	138.31	24.475	45.358	182.92	1.6669	7.7138	0.011697
103.12	9.5984	669.92	0.0014927	-1.8848	-1.8447	96.532	27.319	67.501	567.13	0.0040837	68.668	0.094621	0.0034534	39.605	0.025250	1.7804	2.4593	138.27	24.492	45.469	182.91	1.6644	7.7238	0.011724
103.21	9.6548	669.34	0.0014940	-1.8790	-1.8386	96.588	27.314	67.586	566.01	0.0043644	68.483	0.094453	0.0034365	39.846	0.025096	1.7803	2.4591	138.23	24.509	45.580	182.89	1.6619	7.7337	0.011750
103.29	9.7112	668.77	0.0014953	-1.8733	-1.8326	96.644	27.308	67.671	564.90	0.0046458	68.300	0.094285	0.0034197	40.088	0.024945	1.7803	2.4589	138.19	24.526	45.692	182.88	1.6595	7.7437	0.011776
